rev_yoy,prev_rev_yoy,name,symbol,est_price,prev_year,prev_eps_yoy,price,prev_eps,date,expansion,eps,pe,eps_yoy,status,om,gm,advice
150.03,-4.59,日揚,6208.TWO,113.85,2025,-26.32,84.6999969482,2.52,2026-03,56.41999999999999,1.9,11.159419887773385,206.45,🚀 利潤擴張,N/A,N/A,💎 強力關注
148.33,-6.81,強生,4747.TWO,72.30000000000001,2025,-36.9,49.4000015259,1.19,2026-03,55.839999999999975,1.46,10.248962972178424,204.17,🚀 利潤擴張,N/A,N/A,💎 強力關注
189.01,2.65,九暘,8040.TWO,-18.45,2025,49.15,73.4000015259,-0.6,2026-03,55.43000000000001,0.13,0.0,244.44,🔄 轉虧為盈,N/A,N/A,⚪ 數據不足
185.42,-6.28,晟德,4123.TWO,273.29999999999995,2025,905.92,37.5,12.33,2026-03,54.05000000000001,2.62,2.0581778265642154,239.47,🚀 利潤擴張,-106.23%,41.95%,💎 強力關注
-55.48,-29.22,心誠鎂,6934.TW,0.0,2025,-48.08,79.5,-3.92,2026-03,52.519999999999996,-1.43,0.0,-2.96,🌑 雙重衰退,N/A,N/A,⚪ 數據不足
95.63,6.51,霈方,6574.TWO,252.6,2025,66.34,127.5,6.82,2026-03,51.74000000000001,3.29,7.57125890736342,147.37,🚀 利潤擴張,N/A,N/A,💎 強力關注
91.93,182.72,永擎,7711.TW,0.0,2025,38.44,0.0,13.04,2026-03,47.56,7.68,0.0,139.49,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
359.48,23.54,廣寰科,3287.TWO,31.8,2025,-36.17,28.9500007629,1.5,2026-03,46.579999999999984,1.01,13.65566073721698,406.06,🚀 利潤擴張,N/A,N/A,✅ 穩健價值
66.65,-17.0,琉園,9949.TWO,146.54999999999998,2025,544.54,23.7999992371,5.29,2026-03,45.849999999999994,0.03,2.4360285810747184,112.5,🚀 利潤擴張,N/A,N/A,💎 強力關注
15.93,108.17,漢達,6620.TWO,172.35,2025,31.64,85.8000030518,4.85,2026-03,39.24,0.46,7.467363189886858,55.17,🚀 利潤擴張,N/A,N/A,💎 強力關注
264.14,-40.0,威盛,2388.TW,-30.6,2025,-93.75,72.4000015259,0.12,2026-03,35.860000000000014,0.08,0.0,300.0,🚀 利潤擴張,-8.17%,20.64%,⚪ 數據不足
