date,eps_yoy,gm,prev_eps_yoy,rev_yoy,eps,prev_year,symbol,name,price,expansion,om,pe,status,est_price,prev_rev_yoy,advice,prev_eps
2026-03,147.37,N/A,66.34,95.63,3.29,2025,6574.TWO,霈方,114.0,51.74000000000001,N/A,6.7695961995249405,🚀 利潤擴張,252.6,6.51,💎 強力關注,6.82
2026-03,139.49,N/A,38.44,91.93,7.68,2025,7711.TW,永擎,0.0,47.56,N/A,0.0,🚀 利潤擴張,0.0,182.72,⚪ 數據不足,13.04
2026-03,406.06,N/A,-36.17,359.48,1.01,2025,3287.TWO,廣寰科,32.2000007629,46.579999999999984,N/A,15.188679605141507,🚀 利潤擴張,31.8,23.54,✅ 穩健價值,1.5
2026-03,112.5,N/A,544.54,66.65,0.03,2025,9949.TWO,琉園,25.8999996185,45.849999999999994,N/A,2.6509723253326514,🚀 利潤擴張,146.54999999999998,-17.0,💎 強力關注,5.29
2026-03,55.17,N/A,31.64,15.93,0.46,2025,6620.TWO,漢達,95.0999984741,39.24,N/A,8.276762269286337,🚀 利潤擴張,172.35,108.17,💎 強力關注,4.85
2026-03,300.0,20.64%,-93.75,264.14,0.08,2025,2388.TW,威盛,73.3000030518,35.860000000000014,-8.17%,0.0,🚀 利潤擴張,-30.6,-40.0,⚪ 數據不足,0.12
2026-03,190.24,50.66%,-5.7,156.04,1.19,2025,3556.TWO,禾瑞亞,71.6999969482,34.20000000000002,14.95%,13.131867572930402,🏰 高護城河,81.9,1.24,✅ 穩健價值,2.15
2026-03,42.62,N/A,91.67,10.24,0.87,2025,7821.TW,神數,41.9000015259,32.379999999999995,N/A,0.0,🚀 利潤擴張,0.0,19.28,⚪ 數據不足,2.99
2025-12,34.92,35.24%,-17.2,6.33,11.94,2025,2072.TWO,未知,0.0,28.590000000000003,30.89%,0.0,🚀 利潤擴張,0.0,15.19,⚪ 數據不足,7.56
2026-03,23.4,N/A,-13.21,-3.86,-0.36,2025,6794.TW,向榮生技,79.5,27.259999999999998,N/A,0.0,🧐 疑業外收益,-70.05,-5.58,⚪ 數據不足,-1.89
2026-03,450.0,23.39%,-197.83,422.96,0.11,2025,1467.TW,南緯,7.3000001907,27.04000000000002,1.90%,0.0,🔄 轉虧為盈,-28.950000000000003,2.23,⚪ 數據不足,-0.45
2026-03,42.86,N/A,-27.83,16.63,1.62,2025,7768.TW,頌勝科技,342.5,26.23,N/A,0.0,🚀 利潤擴張,0.0,3.08,⚪ 數據不足,3.24
2026-03,42.86,N/A,-27.83,16.63,1.62,2025,7768.TWO,未知,0.0,26.23,N/A,0.0,🚀 利潤擴張,0.0,3.08,⚪ 數據不足,3.24
2026-03,38.11,21.29%,11.37,12.42,4.33,2025,1623.TW,大東電,0.0,25.689999999999998,16.93%,0.0,🚀 利潤擴張,0.0,20.5,⚪ 數據不足,13.61
2026-03,83.05,80.00%,-1.08,62.36,1.08,2025,2885.TW,元大金,65.6999969482,20.689999999999998,33.03%,9.332385930142046,🏰 高護城河,105.6,6.4,💎 強力關注,2.74
2026-03,45.45,N/A,-66.0,25.49,0.32,2025,5604.TWO,中連,30.8500003815,19.960000000000004,N/A,13.834080888565023,🚀 利潤擴張,33.45,0.36,✅ 穩健價值,0.85
2026-03,470.83,N/A,-11.63,451.29,0.89,2025,6015.TWO,宏遠證,17.6499996185,19.539999999999964,N/A,10.762194889329269,🚀 利潤擴張,24.599999999999998,0.56,💎 強力關注,0.76
2026-03,45.71,N/A,-134.86,26.81,-0.19,2025,5202.TWO,力新,14.6499996185,18.900000000000002,N/A,0.0,🚀 利潤擴張,-30.900000000000002,-8.35,⚪ 數據不足,-0.61
2026-03,41.03,97.25%,13.1,22.97,0.55,2025,2880.TW,華南金,38.0,18.060000000000002,45.93%,8.05084745762712,🏰 高護城河,70.8,4.06,💎 強力關注,1.9
2026-03,234.78,31.93%,35.0,216.8,0.31,2025,3581.TWO,博磊,141.5,17.97999999999999,8.13%,217.69230769230768,🚀 利潤擴張,9.75,13.9,⚠️ 追價風險,0.81
2026-03,33.33,89.95%,28.3,16.1,0.2,2025,2836.TW,高雄銀,12.25,17.229999999999997,32.37%,7.291666666666666,🏰 高護城河,25.200000000000003,14.52,💎 強力關注,0.68
2026-03,331.43,N/A,107.11,316.27,1.67,2025,4991.TWO,環宇-KY,530.0,15.160000000000025,N/A,662.5,🚀 利潤擴張,11.999999999999998,25.43,⚠️ 追價風險,0.15
2026-03,10.53,N/A,14.12,-1.82,0.42,2025,7819.TWO,精誠金融,39.75,12.35,N/A,0.0,🧐 疑業外收益,0.0,10.14,⚪ 數據不足,2.91
2026-03,34.04,78.38%,-10.99,22.04,0.69,2025,2883.TW,凱基金,28.7000007629,12.0,39.14%,7.532808599186352,🏰 高護城河,57.14999999999999,-12.26,💎 強力關注,1.74
2026-03,52.29,N/A,-14.12,41.94,-0.53,2025,6657.TW,華安,36.4000015259,10.350000000000001,N/A,0.0,🚀 利潤擴張,-109.2,-0.97,⚪ 數據不足,-2.92
2026-03,29.13,100.00%,4.19,19.99,7.98,2025,3529.TWO,力旺,2925.0,9.14,60.64%,46.2962962962963,🏰 高護城河,947.7,6.74,⚠️ 追價風險,25.6
2026-03,283.33,24.77%,-53.57,274.7,0.23,2025,1236.TW,宏亞,25.75,8.629999999999995,-4.59%,0.0,🔄 轉虧為盈,-14.25,-8.31,⚪ 數據不足,-0.43
2026-03,153.49,27.77%,-827.91,145.6,0.25,2025,1598.TW,岱宇,18.9500007629,7.890000000000015,-13.99%,0.0,🔄 轉虧為盈,-89.10000000000001,-15.19,⚪ 數據不足,-3.35
2026-03,56.0,N/A,24.93,48.18,0.39,2025,8272.TWO,全景軟體,67.5999984741,7.82,N/A,7.453142058886439,🚀 利潤擴張,136.05,15.86,✅ 穩健價值,4.66
2026-03,37.5,84.77%,-7.32,30.02,0.11,2025,2901.TW,欣欣,23.7000007629,7.48,20.24%,26.333334180999998,🏰 高護城河,13.5,-2.15,⚠️ 追價風險,0.38
2026-03,-5.56,N/A,14.95,-11.29,-0.19,2025,4178.TWO,未知,0.0,5.7299999999999995,N/A,0.0,🌑 雙重衰退,0.0,-3.6,⚪ 數據不足,-0.92
2026-03,-5.56,N/A,14.95,-11.29,-0.19,2025,4178.TW,永笙-KY,18.3500003815,5.7299999999999995,N/A,0.0,🌑 雙重衰退,0.0,-3.6,⚪ 數據不足,-0.92
2026-03,114.29,N/A,-38.13,109.17,1.5,2025,6195.TWO,詩肯,25.1499996185,5.1200000000000045,N/A,5.931603683608491,🚀 利潤擴張,63.6,-3.57,✅ 穩健價值,0.99
2026-03,16.67,83.45%,0.85,12.57,0.63,2025,2886.TW,兆豐金,46.0999984741,4.100000000000001,33.61%,7.520391268205548,🏰 高護城河,91.94999999999999,-1.77,✅ 穩健價值,2.36
2026-03,16.67,73.82%,41.18,12.87,0.07,2025,3094.TW,聯傑,39.4500007629,3.8000000000000025,-7.29%,80.51020563857142,🏰 高護城河,7.35,13.2,⚠️ 追價風險,0.25
2026-03,300.0,N/A,-326.32,296.51,0.24,2025,4939.TWO,亞電,64.3000030518,3.490000000000009,N/A,0.0,🔄 轉虧為盈,-22.2,-8.05,⚪ 數據不足,-0.43
2026-03,5.8,N/A,18.52,2.45,0.73,2025,7839.TWO,達人網,45.25,3.3499999999999996,N/A,0.0,🚀 利潤擴張,0.0,8.14,⚪ 數據不足,2.56
2026-03,35.9,N/A,-16.92,32.83,-0.25,2025,7777.TWO,能率亞洲,41.4500007629,3.0700000000000003,N/A,51.172840448024694,🚀 利潤擴張,12.149999999999999,15.88,⚠️ 追價風險,0.58
