symbol,prev_year,prev_rev_yoy,gm,eps_yoy,date,pe,om,expansion,prev_eps,est_price,rev_yoy,status,advice,name,price,prev_eps_yoy,eps
1512.TW,2025,2.64,28.43%,127.94,2025-12,29.2800006868,-3.62%,119.85,0.04,3.75,8.09,🚀 利潤擴張,⚠️ 追價風險,瑞利,7.3200001717,111.76,0.19
2596.TWO,2025,217.33,32.97%,177.61,2025-12,6.444444444444445,26.41%,117.96000000000001,1.04,67.5,59.65,🚀 利潤擴張,💎 強力關注,綠意,29.0,425.0,1.86
8080.TWO,2025,34.06,N/A,139.29,2025-12,41.376810488550724,N/A,116.91,0.2,10.350000000000001,22.38,🚀 利潤擴張,⚠️ 追價風險,泰霖,28.5499992371,190.91,0.12
4555.TW,2025,8.77,31.93%,122.09,2025-12,1055.0000190724998,2.93%,114.62,-0.02,0.6000000000000001,7.47,🔄 轉虧為盈,⚠️ 追價風險,氣立,42.2000007629,97.22,0.19
6198.TWO,2025,-92.7,N/A,23.33,2025-12,0.0,N/A,113.42999999999999,-0.12,-7.5,-90.1,🧐 疑業外收益,⚪ 數據不足,瑞築,21.5,55.56,-0.23
4702.TWO,2025,-60.26,35.38%,51.72,2025-12,27.542858123714275,-88.29%,113.31,0.23,5.250000000000002,-61.59,🧐 疑業外收益,⚠️ 追價風險,中美實,9.6400003433,-14.81,0.88
3260.TWO,2025,22.8,48.37%,144.7,2025-12,11.350392703318978,35.36%,112.57,10.08,592.05,32.13,🚀 利潤擴張,💎 強力關注,威剛,448.0,19.56,23.18
2025.TW,2025,-15.81,-19.82%,87.32,2025-12,0.0,14.50%,109.96,-0.41,-17.700000000000003,-22.64,🧐 疑業外收益,⚪ 數據不足,千興,10.9499998093,28.07,-0.18
8455.TWO,2025,-7.04,N/A,102.7,2025-12,0.0,N/A,109.10000000000001,0.02,-4.95,-6.4,🧐 疑業外收益,⚪ 數據不足,大拓-KY,24.2999992371,104.35,0.02
9955.TW,2025,17.8,N/A,134.62,2025-12,0.0,N/A,108.56,-0.37,-5.399999999999999,26.06,🔄 轉虧為盈,⚪ 數據不足,佳龍,29.6499996185,50.67,0.54
4967.TW,2025,-15.55,N/A,110.31,2025-12,15.49597855227882,N/A,107.85000000000001,3.47,279.75000000000006,2.46,🚀 利潤擴張,✅ 穩健價值,十銓,289.0,-46.86,13.06
8477.TWO,2025,-51.54,N/A,53.77,2025-12,0.0,N/A,106.5,-0.62,-38.4,-52.73,🧐 疑業外收益,⚪ 數據不足,創業家,13.8999996185,80.0,-0.92
2501.TW,2025,7.39,26.51%,108.09,2025-12,3.5771065182829886,17.13%,106.29,1.91,94.35,1.8,🚀 利潤擴張,💎 強力關注,國建,22.5,127.38,2.83
6465.TWO,2025,5.09,N/A,168.25,2025-12,0.0,N/A,104.65,-0.75,-14.549999999999999,63.6,🔄 轉虧為盈,⚪ 數據不足,威潤,46.0,29.25,0.86
3135.TW,2025,34.74,19.12%,143.64,2025-12,18.649885583524032,16.62%,103.75999999999999,1.5,131.09999999999997,39.88,🚀 利潤擴張,⚪ 中性觀察,凌航,163.0,-29.03,6.33
6150.TWO,2025,77.79,N/A,164.15,2025-12,11.278195488721806,N/A,102.95,1.55,79.8,61.2,🚀 利潤擴張,💎 強力關注,撼訊,60.0,156.36,2.63
2465.TW,2025,32.51,10.44%,107.41,2025-12,69.921875,2.26%,101.99,0.09,19.2,5.42,🚀 利潤擴張,⚠️ 追價風險,麗臺,89.5,102.43,0.43
2926.TWO,2025,2.58,40.82%,100.0,2025-12,29.52755905511811,-1.48%,98.16,0.34,19.05,1.84,🚀 利潤擴張,⚠️ 追價風險,誠品生活,37.5,241.67,0.54
1541.TW,2025,28.08,19.55%,118.87,2025-12,5.342465666324201,7.07%,97.42,1.32,65.7,21.45,🚀 利潤擴張,💎 強力關注,錩泰,23.3999996185,41.94,2.32
