expansion,eps,gm,advice,om,price,prev_eps,prev_year,prev_eps_yoy,eps_yoy,date,prev_rev_yoy,name,rev_yoy,pe,symbol,est_price,status
126.13000000000001,3.76,N/A,💎 強力關注,N/A,41.3499984741,2.46,2025,128.3,161.27,2025-12,13.11,美好證,35.14,9.334085434334085,6021.TWO,66.44999999999999,🚀 利潤擴張
126.13,0.74,27.46%,✅ 穩健價值,-3.44%,25.9500007629,0.47,2025,147.47,155.22,2025-12,30.74,曜越,29.09,14.180328285737705,3540.TWO,27.450000000000003,🚀 利潤擴張
125.85999999999999,2.55,N/A,💎 強力關注,N/A,50.2999992371,2.05,2025,130.34,177.17,2025-12,62.88,山林水,51.31,7.155049678108109,8473.TW,105.44999999999999,🚀 利潤擴張
125.67999999999999,4.0,31.80%,⚠️ 追價風險,13.87%,519.0,1.57,2025,-40.53,120.99,2025-12,-13.87,穩懋,-4.69,111.61290322580645,3105.TWO,69.75,🧐 疑業外收益
122.4,0.92,N/A,💎 強力關注,N/A,25.2999992371,0.66,2025,128.33,142.59,2025-12,28.81,安鈦克,20.19,8.694157813436426,6276.TWO,43.650000000000006,🚀 利潤擴張
119.85,0.19,28.43%,⚠️ 追價風險,-3.62%,7.1599998474,0.04,2025,111.76,127.94,2025-12,2.64,瑞利,8.09,28.6399993896,1512.TW,3.75,🚀 利潤擴張
117.96000000000001,1.86,32.97%,💎 強力關注,26.41%,30.6499996185,1.04,2025,425.0,177.61,2025-12,217.33,綠意,59.65,6.811111026333333,2596.TWO,67.5,🚀 利潤擴張
116.91,0.12,N/A,⚠️ 追價風險,N/A,27.9500007629,0.2,2025,190.91,139.29,2025-12,34.06,泰霖,22.38,40.50724748246377,8080.TWO,10.350000000000001,🚀 利潤擴張
114.62,0.19,31.93%,⚠️ 追價風險,2.93%,46.9000015259,-0.02,2025,97.22,122.09,2025-12,8.77,氣立,7.47,1172.5000381475,4555.TW,0.6000000000000001,🔄 轉虧為盈
113.42999999999999,-0.23,N/A,⚪ 數據不足,N/A,21.0,-0.12,2025,55.56,23.33,2025-12,-92.7,瑞築,-90.1,0.0,6198.TWO,-7.5,🧐 疑業外收益
113.31,0.88,35.38%,⚠️ 追價風險,-88.29%,10.1000003815,0.23,2025,-14.81,51.72,2025-12,-60.26,中美實,-61.59,28.857143947142845,4702.TWO,5.250000000000002,🧐 疑業外收益
112.57,23.18,48.37%,💎 強力關注,35.36%,416.0,10.08,2025,19.56,144.7,2025-12,22.8,威剛,32.13,10.53965036736762,3260.TWO,592.05,🚀 利潤擴張
109.96,-0.18,-19.82%,⚪ 數據不足,14.50%,14.1499996185,-0.41,2025,28.07,87.32,2025-12,-15.81,千興,-22.64,0.0,2025.TW,-17.700000000000003,🧐 疑業外收益
109.10000000000001,0.02,N/A,⚪ 數據不足,N/A,31.0499992371,0.02,2025,104.35,102.7,2025-12,-7.04,大拓-KY,-6.4,0.0,8455.TWO,-4.95,🧐 疑業外收益
108.56,0.54,N/A,⚪ 數據不足,N/A,27.2999992371,-0.37,2025,50.67,134.62,2025-12,17.8,佳龍,26.06,0.0,9955.TW,-5.399999999999999,🔄 轉虧為盈
107.85000000000001,13.06,N/A,✅ 穩健價值,N/A,275.0,3.47,2025,-46.86,110.31,2025-12,-15.55,十銓,2.46,14.745308310991955,4967.TW,279.75000000000006,🚀 利潤擴張
106.5,-0.92,N/A,⚪ 數據不足,N/A,16.7999992371,-0.62,2025,80.0,53.77,2025-12,-51.54,創業家,-52.73,0.0,8477.TWO,-38.4,🧐 疑業外收益
106.29,2.83,26.51%,💎 強力關注,17.13%,27.0,1.91,2025,127.38,108.09,2025-12,7.39,國建,1.8,4.292527821939586,2501.TW,94.35,🚀 利潤擴張
104.65,0.86,N/A,⚪ 數據不足,N/A,70.4000015259,-0.75,2025,29.25,168.25,2025-12,5.09,威潤,63.6,0.0,6465.TWO,-14.549999999999999,🔄 轉虧為盈
103.75999999999999,6.33,19.12%,⚠️ 追價風險,16.62%,192.5,1.5,2025,-29.03,143.64,2025-12,34.74,凌航,39.88,22.025171624713963,3135.TW,131.09999999999997,🚀 利潤擴張
