eps,prev_year,gm,price,prev_eps,eps_yoy,expansion,date,om,advice,rev_yoy,prev_eps_yoy,status,prev_rev_yoy,name,pe,symbol,est_price
2.83,2025,26.51%,23.2000007629,1.91,108.09,106.29,2025-12,17.13%,💎 強力關注,1.8,127.38,🚀 利潤擴張,7.39,國建,3.688394397917329,2501.TW,94.35
0.86,2025,N/A,46.0499992371,-0.75,168.25,104.65,2025-12,N/A,⚪ 數據不足,63.6,29.25,🔄 轉虧為盈,5.09,威潤,0.0,6465.TWO,-14.549999999999999
6.33,2025,19.12%,144.5,1.5,143.64,103.75999999999999,2025-12,16.62%,⚪ 中性觀察,39.88,-29.03,🚀 利潤擴張,34.74,凌航,16.53318077803204,3135.TW,131.09999999999997
2.63,2025,N/A,54.7999992371,1.55,164.15,102.95,2025-12,N/A,💎 強力關注,61.2,156.36,🚀 利潤擴張,77.79,撼訊,10.300751736296995,6150.TWO,79.8
0.43,2025,10.44%,70.0,0.09,107.41,101.99,2025-12,2.26%,⚠️ 追價風險,5.42,102.43,🚀 利潤擴張,32.51,麗臺,54.6875,2465.TW,19.2
0.54,2025,40.82%,37.5,0.34,100.0,98.16,2025-12,-1.48%,⚠️ 追價風險,1.84,241.67,🚀 利潤擴張,2.58,誠品生活,29.52755905511811,2926.TWO,19.05
2.32,2025,19.55%,24.25,1.32,118.87,97.42,2025-12,7.07%,💎 強力關注,21.45,41.94,🚀 利潤擴張,28.08,錩泰,5.536529680365297,1541.TW,65.7
0.72,2025,24.41%,5.1100001335,0.47,110.31,96.7,2025-12,0.24%,💎 強力關注,13.61,133.57,🚀 利潤擴張,9.38,虹光,2.634020687371134,2380.TW,29.099999999999998
1.65,2025,N/A,757.0,0.09,146.97,96.47999999999999,2025-12,N/A,⚪ 數據不足,50.49,103.17,🚀 利潤擴張,54.63,IET-KY,0.0,4971.TWO,-7.0500000000000025
0.16,2025,N/A,11.3999996185,0.34,104.43,96.02000000000001,2025-12,N/A,⚪ 數據不足,8.41,116.43,🚀 利潤擴張,7.31,雙喜,0.0,5516.TWO,-7.35
0.16,2025,12.43%,754.0,0.37,134.04,95.32,2025-12,-9.15%,⚠️ 追價風險,38.72,317.65,🚀 利潤擴張,49.52,上詮,1061.9718309859154,3363.TWO,10.65
16.13,2025,N/A,1490.0,10.13,191.99,95.30000000000001,2025-12,N/A,⚠️ 追價風險,96.69,167.2,🚀 利潤擴張,94.38,竹陞科技,42.95185932545402,6739.TWO,520.3499999999999
