prev_eps_yoy,date,est_price,name,prev_eps,pe,advice,gm,eps_yoy,symbol,expansion,status,om,prev_year,price,eps,rev_yoy,prev_rev_yoy
80.0,2025-12,-38.4,創業家,-0.62,0.0,⚪ 數據不足,N/A,53.77,8477.TWO,106.5,🧐 疑業外收益,N/A,2025,13.6499996185,-0.92,-52.73,-51.54
127.38,2025-12,94.35,國建,1.91,4.17329093799682,💎 強力關注,26.51%,108.09,2501.TW,106.29,🚀 利潤擴張,17.13%,2025,26.25,2.83,1.8,7.39
29.25,2025-12,-14.549999999999999,威潤,-0.75,0.0,⚪ 數據不足,N/A,168.25,6465.TWO,104.65,🔄 轉虧為盈,N/A,2025,50.9000015259,0.86,63.6,5.09
-29.03,2025-12,131.09999999999997,凌航,1.5,14.816933638443938,✅ 穩健價值,19.12%,143.64,3135.TW,103.75999999999999,🚀 利潤擴張,16.62%,2025,129.5,6.33,39.88,34.74
156.36,2025-12,79.8,撼訊,1.55,11.10902226956767,💎 強力關注,N/A,164.15,6150.TWO,102.95,🚀 利潤擴張,N/A,2025,59.0999984741,2.63,61.2,77.79
102.43,2025-12,19.2,麗臺,0.09,53.35937738421875,⚠️ 追價風險,10.44%,107.41,2465.TW,101.99,🚀 利潤擴張,2.26%,2025,68.3000030518,0.43,5.42,32.51
241.67,2025-12,19.05,誠品生活,0.34,28.89763839598425,⚠️ 追價風險,40.82%,100.0,2926.TWO,98.16,🚀 利潤擴張,-1.48%,2025,36.7000007629,0.54,1.84,2.58
41.94,2025-12,65.7,錩泰,1.32,5.570776168607306,💎 強力關注,19.55%,118.87,1541.TW,97.42,🚀 利潤擴張,7.07%,2025,24.3999996185,2.32,21.45,28.08
133.57,2025-12,29.099999999999998,虹光,0.47,2.6288659302061856,💎 強力關注,24.41%,110.31,2380.TW,96.7,🚀 利潤擴張,0.24%,2025,5.0999999046,0.72,13.61,9.38
103.17,2025-12,-7.0500000000000025,IET-KY,0.09,0.0,⚪ 數據不足,N/A,146.97,4971.TWO,96.47999999999999,🚀 利潤擴張,N/A,2025,835.0,1.65,50.49,54.63
116.43,2025-12,-7.35,雙喜,0.34,0.0,⚪ 數據不足,N/A,104.43,5516.TWO,96.02000000000001,🚀 利潤擴張,N/A,2025,12.25,0.16,8.41,7.31
317.65,2025-12,10.65,上詮,0.37,1283.0985915492956,⚠️ 追價風險,12.43%,134.04,3363.TWO,95.32,🚀 利潤擴張,-9.15%,2025,911.0,0.16,38.72,49.52
167.2,2025-12,520.3499999999999,竹陞科技,10.13,44.249063130585185,⚠️ 追價風險,N/A,191.99,6739.TWO,95.30000000000001,🚀 利潤擴張,N/A,2025,1535.0,16.13,96.69,94.38
123.21,2025-12,4.65,廣運,0.13,177.7419305616129,⚠️ 追價風險,N/A,118.18,6125.TWO,94.49000000000001,🚀 利潤擴張,N/A,2025,55.0999984741,0.1,23.69,15.42
