prev_eps_yoy,status,price,advice,date,om,prev_rev_yoy,name,pe,eps,symbol,rev_yoy,expansion,eps_yoy,est_price,prev_year,prev_eps,gm
44.08,🚀 利潤擴張,1340.0,⚪ 數據不足,2026-03,N/A,76.4,創新服務,0.0,1.02,7828.TWO,51.84,69.89999999999999,121.74,0.0,2025,6.33,N/A
3.28,🏰 高護城河,15.6000003815,💎 強力關注,2026-03,38.94%,4.6,國票金,10.196078680718953,0.25,2889.TW,58.58,68.69,127.27,22.95,2025,0.63,90.85%
24.43,🏰 高護城河,96.0999984741,💎 強力關注,2026-03,20.98%,-4.63,麗豐-KY,5.606767705606768,1.41,4137.TW,40.15,67.19999999999999,107.35,257.1,2025,7.13,82.18%
-31.03,🔄 轉虧為盈,8.25,⚪ 數據不足,2026-03,3.73%,-28.72,研勤,0.0,0.06,3632.TWO,110.52,64.48,175.0,-15.3,2025,-0.38,54.59%
-24.06,🚀 利潤擴張,44.5,⚪ 數據不足,2026-03,N/A,2.38,和迅,0.0,0.6,6986.TWO,42.91,63.99000000000001,106.9,0.0,2025,2.43,N/A
-184.44,🔄 轉虧為盈,29.0,⚪ 數據不足,2026-03,-45.46%,-7.78,穎漢,0.0,0.11,4562.TW,111.03,63.97,175.0,-38.1,2025,-1.28,31.44%
-7120.0,🏰 高護城河,0.0,⚪ 數據不足,2026-03,-55.72%,-29.69,泰偉,0.0,-0.27,3064.TWO,-1.0,63.5,62.5,0.0,2025,-3.51,93.22%
17.33,🚀 利潤擴張,34.2000007629,💎 強力關注,2026-03,N/A,12.14,群益證,5.044247900132743,1.34,6005.TW,171.79,63.21000000000001,235.0,101.7,2025,2.64,N/A
152.25,🚀 利潤擴張,32.5499992371,⚠️ 追價風險,2026-03,N/A,19.69,車王電,48.582088413582106,0.84,1533.TW,438.18,61.81999999999999,500.0,10.049999999999997,2025,0.58,N/A
34.55,🚀 利潤擴張,20.9500007629,✅ 穩健價值,2026-03,7.12%,-4.85,正隆,13.966667175266666,0.56,1904.TW,538.23,61.76999999999998,600.0,22.5,2025,0.74,20.98%
-26.32,🚀 利潤擴張,81.5,💎 強力關注,2026-03,N/A,-4.59,日揚,10.737812911725955,1.9,6208.TWO,150.03,56.41999999999999,206.45,113.85,2025,2.52,N/A
-36.9,🚀 利潤擴張,48.2000007629,💎 強力關注,2026-03,N/A,-6.81,強生,10.000000158278008,1.46,4747.TWO,148.33,55.839999999999975,204.17,72.30000000000001,2025,1.19,N/A
49.15,🔄 轉虧為盈,66.0,⚪ 數據不足,2026-03,N/A,2.65,九暘,0.0,0.13,8040.TWO,189.01,55.43000000000001,244.44,-18.45,2025,-0.6,N/A
905.92,🚀 利潤擴張,37.75,💎 強力關注,2026-03,-106.23%,-6.28,晟德,2.071899012074643,2.62,4123.TWO,185.42,54.05000000000001,239.47,273.29999999999995,2025,12.33,41.95%
-48.08,🌑 雙重衰退,73.0,⚪ 數據不足,2026-03,N/A,-29.22,心誠鎂,0.0,-1.43,6934.TW,-55.48,52.519999999999996,-2.96,0.0,2025,-3.92,N/A
66.34,🚀 利潤擴張,115.5,💎 強力關注,2026-03,N/A,6.51,霈方,6.858669833729216,3.29,6574.TWO,95.63,51.74000000000001,147.37,252.6,2025,6.82,N/A
38.44,🚀 利潤擴張,0.0,⚪ 數據不足,2026-03,N/A,182.72,永擎,0.0,7.68,7711.TW,91.93,47.56,139.49,0.0,2025,13.04,N/A
-36.17,🚀 利潤擴張,28.3500003815,✅ 穩健價值,2026-03,N/A,23.54,廣寰科,13.372641689386791,1.01,3287.TWO,359.48,46.579999999999984,406.06,31.8,2025,1.5,N/A
544.54,🚀 利潤擴張,23.2999992371,💎 強力關注,2026-03,N/A,-17.0,琉園,2.3848515084032753,0.03,9949.TWO,66.65,45.849999999999994,112.5,146.54999999999998,2025,5.29,N/A
31.64,🚀 利潤擴張,87.9000015259,💎 強力關注,2026-03,N/A,108.17,漢達,7.650130681105308,0.46,6620.TWO,15.93,39.24,55.17,172.35,2025,4.85,N/A
-93.75,🚀 利潤擴張,70.5,⚪ 數據不足,2026-03,-8.17%,-40.0,威盛,0.0,0.08,2388.TW,264.14,35.860000000000014,300.0,-30.6,2025,0.12,20.64%
-5.7,🏰 高護城河,58.2999992371,💎 強力關注,2026-03,14.95%,1.24,禾瑞亞,10.677655537930404,1.19,3556.TWO,156.04,34.20000000000002,190.24,81.9,2025,2.15,50.66%
91.67,🚀 利潤擴張,39.9500007629,⚪ 數據不足,2026-03,N/A,19.28,神數,0.0,0.87,7821.TW,10.24,32.379999999999995,42.62,0.0,2025,2.99,N/A
-17.2,🚀 利潤擴張,0.0,⚪ 數據不足,2025-12,30.89%,15.19,未知,0.0,11.94,2072.TWO,6.33,28.590000000000003,34.92,0.0,2025,7.56,35.24%
-13.21,🧐 疑業外收益,77.4000015259,⚪ 數據不足,2026-03,N/A,-5.58,向榮生技,0.0,-0.36,6794.TW,-3.86,27.259999999999998,23.4,-70.05,2025,-1.89,N/A
-197.83,🔄 轉虧為盈,9.3400001526,⚪ 數據不足,2026-03,1.90%,2.23,南緯,0.0,0.11,1467.TW,422.96,27.04000000000002,450.0,-28.950000000000003,2025,-0.45,23.39%
-27.83,🚀 利潤擴張,252.0,⚪ 數據不足,2026-03,N/A,3.08,頌勝科技,0.0,1.62,7768.TW,16.63,26.23,42.86,0.0,2025,3.24,N/A
-27.83,🚀 利潤擴張,0.0,⚪ 數據不足,2026-03,N/A,3.08,未知,0.0,1.62,7768.TWO,16.63,26.23,42.86,0.0,2025,3.24,N/A
11.37,🚀 利潤擴張,0.0,⚪ 數據不足,2026-03,16.93%,20.5,大東電,0.0,4.33,1623.TW,12.42,25.689999999999998,38.11,0.0,2025,13.61,21.29%
-1.08,🏰 高護城河,68.0999984741,💎 強力關注,2026-03,33.03%,6.4,元大金,9.673295237798296,1.08,2885.TW,62.36,20.689999999999998,83.05,105.6,2025,2.74,80.00%
-66.0,🚀 利潤擴張,30.25,✅ 穩健價值,2026-03,N/A,0.36,中連,13.565022421524663,0.32,5604.TWO,25.49,19.960000000000004,45.45,33.45,2025,0.85,N/A
-11.63,🚀 利潤擴張,15.6499996185,💎 強力關注,2026-03,N/A,0.56,宏遠證,9.542682694207318,0.89,6015.TWO,451.29,19.539999999999964,470.83,24.599999999999998,2025,0.76,N/A
-134.86,🚀 利潤擴張,11.6499996185,⚪ 數據不足,2026-03,N/A,-8.35,力新,0.0,-0.19,5202.TWO,26.81,18.900000000000002,45.71,-30.900000000000002,2025,-0.61,N/A
13.1,🏰 高護城河,43.7000007629,💎 強力關注,2026-03,45.93%,4.06,華南金,9.258474737902542,0.55,2880.TW,22.97,18.060000000000002,41.03,70.8,2025,1.9,97.25%
35.0,🚀 利潤擴張,98.4000015259,⚠️ 追價風險,2026-03,8.13%,13.9,博磊,151.38461773215383,0.31,3581.TWO,216.8,17.97999999999999,234.78,9.75,2025,0.81,31.93%
28.3,🏰 高護城河,12.1000003815,💎 強力關注,2026-03,32.37%,14.52,高雄銀,7.202381179464284,0.2,2836.TW,16.1,17.229999999999997,33.33,25.200000000000003,2025,0.68,89.95%
107.11,🚀 利潤擴張,353.0,⚠️ 追價風險,2026-03,N/A,25.43,環宇-KY,441.25000000000006,1.67,4991.TWO,316.27,15.160000000000025,331.43,11.999999999999998,2025,0.15,N/A
14.12,🧐 疑業外收益,33.6500015259,⚪ 數據不足,2026-03,N/A,10.14,精誠金融,0.0,0.42,7819.TWO,-1.82,12.35,10.53,0.0,2025,2.91,N/A
-10.99,🏰 高護城河,30.8500003815,💎 強力關注,2026-03,39.14%,-12.26,凱基金,8.097112961023623,0.69,2883.TW,22.04,12.0,34.04,57.14999999999999,2025,1.74,78.38%
-14.12,🚀 利潤擴張,30.2999992371,⚪ 數據不足,2026-03,N/A,-0.97,華安,0.0,-0.53,6657.TW,41.94,10.350000000000001,52.29,-109.2,2025,-2.92,N/A
4.19,🏰 高護城河,2475.0,⚠️ 追價風險,2026-03,60.64%,6.74,力旺,39.173789173789174,7.98,3529.TWO,19.99,9.14,29.13,947.7,2025,25.6,100.00%
-53.57,🔄 轉虧為盈,24.5499992371,⚪ 數據不足,2026-03,-4.59%,-8.31,宏亞,0.0,0.23,1236.TW,274.7,8.629999999999995,283.33,-14.25,2025,-0.43,24.77%
-827.91,🔄 轉虧為盈,20.1000003815,⚪ 數據不足,2026-03,-13.99%,-15.19,岱宇,0.0,0.25,1598.TW,145.6,7.890000000000015,153.49,-89.10000000000001,2025,-3.35,27.77%
24.93,🚀 利潤擴張,65.0,✅ 穩健價值,2026-03,N/A,15.86,全景軟體,7.166482910694597,0.39,8272.TWO,48.18,7.82,56.0,136.05,2025,4.66,N/A
-7.32,🏰 高護城河,24.2000007629,⚠️ 追價風險,2026-03,20.24%,-2.15,欣欣,26.888889736555555,0.11,2901.TW,30.02,7.48,37.5,13.5,2025,0.38,84.77%
14.95,🌑 雙重衰退,0.0,⚪ 數據不足,2026-03,N/A,-3.6,未知,0.0,-0.19,4178.TWO,-11.29,5.7299999999999995,-5.56,0.0,2025,-0.92,N/A
