om,eps_yoy,eps,name,price,advice,symbol,gm,prev_eps,prev_rev_yoy,prev_year,rev_yoy,status,date,pe,expansion,est_price,prev_eps_yoy
N/A,139.29,0.12,泰霖,28.7000007629,⚠️ 追價風險,8080.TWO,N/A,0.2,34.06,2025,22.38,🚀 利潤擴張,2025-12,41.59420400420289,116.91,10.350000000000001,190.91
2.93%,122.09,0.19,氣立,42.6500015259,⚠️ 追價風險,4555.TW,31.93%,-0.02,8.77,2025,7.47,🔄 轉虧為盈,2025-12,1066.2500381475,114.62,0.6000000000000001,97.22
N/A,23.33,-0.23,瑞築,21.7000007629,⚪ 數據不足,6198.TWO,N/A,-0.12,-92.7,2025,-90.1,🧐 疑業外收益,2025-12,0.0,113.42999999999999,-7.5,55.56
-88.29%,51.72,0.88,中美實,9.8699998856,⚠️ 追價風險,4702.TWO,35.38%,0.23,-60.26,2025,-61.59,🧐 疑業外收益,2025-12,28.199999673142848,113.31,5.250000000000002,-14.81
35.36%,144.7,23.18,威剛,457.0,💎 強力關注,3260.TWO,48.37%,10.08,22.8,2025,32.13,🚀 利潤擴張,2025-12,11.578413985305296,112.57,592.05,19.56
14.50%,87.32,-0.18,千興,11.6999998093,⚪ 數據不足,2025.TW,-19.82%,-0.41,-15.81,2025,-22.64,🧐 疑業外收益,2025-12,0.0,109.96,-17.700000000000003,28.07
N/A,102.7,0.02,大拓-KY,27.9500007629,⚪ 數據不足,8455.TWO,N/A,0.02,-7.04,2025,-6.4,🧐 疑業外收益,2025-12,0.0,109.10000000000001,-4.95,104.35
N/A,134.62,0.54,佳龍,30.1000003815,⚪ 數據不足,9955.TW,N/A,-0.37,17.8,2025,26.06,🔄 轉虧為盈,2025-12,0.0,108.56,-5.399999999999999,50.67
N/A,110.31,13.06,十銓,284.5,✅ 穩健價值,4967.TW,N/A,3.47,-15.55,2025,2.46,🚀 利潤擴張,2025-12,15.254691689008041,107.85000000000001,279.75000000000006,-46.86
N/A,53.77,-0.92,創業家,15.0,⚪ 數據不足,8477.TWO,N/A,-0.62,-51.54,2025,-52.73,🧐 疑業外收益,2025-12,0.0,106.5,-38.4,80.0
