股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
8096.TWO,-1.31%,+1.33%,+0.00%,+0.00%,-0.44%,+0.00%,+0.44%,+0.00%,-0.44%,-0.44%
6510.TWO,-2.54%,+2.28%,+0.85%,-0.84%,+0.21%,+1.91%,-0.62%,-0.31%,-1.05%,+4.35%
4163.TWO,-1.84%,+2.25%,-1.10%,+3.70%,-7.86%,+1.94%,+1.90%,-0.75%,+4.51%,-1.80%
5450.TWO,-2.20%,+1.25%,+0.74%,-0.98%,-0.25%,+0.25%,-0.25%,-0.25%,-0.50%,+0.00%
4304.TWO,+0.00%,+0.00%,+0.00%,-0.10%,-1.86%,-0.42%,+1.37%,+0.94%,-0.31%,-1.55%
9950.TWO,-2.03%,+0.83%,+3.70%,+0.00%,-3.17%,+0.00%,+2.46%,+2.80%,+5.06%,+0.74%
6786.TWO,-7.36%,+1.73%,+0.10%,+4.50%,+5.26%,+3.64%,-1.32%,-0.89%,-1.35%,-4.55%
00746B.TWO,-0.57%,-0.74%,-0.39%,-0.19%,-0.58%,-0.39%,-0.39%,+0.42%,-0.48%,-0.23%
3230.TWO,-1.67%,+1.02%,-0.67%,-1.01%,+1.37%,+0.00%,+0.34%,+0.00%,-0.67%,-0.68%
6170.TWO,+1.73%,+2.23%,+1.92%,+0.75%,-1.00%,+2.02%,-0.37%,-0.25%,-0.12%,-0.87%
1343.TWO,+0.00%,-0.65%,+2.80%,-1.12%,-0.16%,+2.11%,+0.16%,+0.00%,-1.27%,+3.37%
6727.TWO,-2.69%,+1.30%,+1.28%,+2.37%,-0.46%,+1.71%,-0.46%,-0.92%,+0.62%,-0.46%
3363.TWO,+5.73%,+9.13%,+0.26%,+9.91%,-3.32%,+4.79%,-2.46%,-4.68%,+0.88%,+2.62%
6121.TWO,+0.81%,-0.65%,+0.00%,-0.16%,+0.16%,+0.81%,-0.32%,+0.49%,+1.61%,+0.63%
2760.TWO,-3.74%,+1.76%,+0.74%,-0.49%,+0.74%,-0.24%,+0.00%,+0.12%,+0.00%,-4.65%
00886.TWO,-0.53%,+0.87%,+0.48%,+1.05%,+1.98%,-0.42%,+0.42%,-0.88%,+1.07%,+1.06%
6549.TWO,-2.97%,-1.08%,-1.64%,-4.44%,-4.65%,+3.86%,+2.15%,-0.19%,-2.50%,-0.39%
6229.TWO,-2.76%,-0.35%,-0.18%,-0.18%,+3.75%,+3.61%,-0.66%,-1.17%,+0.85%,-1.01%
6679.TWO,-2.52%,+0.55%,+3.67%,+1.65%,+0.54%,+1.43%,+0.00%,-0.18%,-1.77%,-0.72%
4950.TWO,-1.01%,+0.51%,+0.00%,-0.51%,+0.51%,+1.27%,+1.00%,+1.24%,+2.20%,-0.48%
6697.TWO,-2.14%,+2.31%,+9.99%,+9.84%,+9.84%,+9.86%,+9.95%,+9.50%,-6.50%,-1.74%
6523.TWO,-2.35%,+0.80%,+0.80%,-1.58%,-0.80%,+4.05%,+0.00%,-0.78%,-1.96%,-1.20%
