name,prev_eps_yoy,eps,advice,prev_year,price,est_price,pe,status,expansion,gm,eps_yoy,om,rev_yoy,prev_rev_yoy,prev_eps,date,symbol
未知,-17.2,11.94,⚪ 數據不足,2025,0.0,0.0,0.0,🚀 利潤擴張,28.590000000000003,35.24%,34.92,30.89%,6.33,15.19,7.56,2025-12,2072.TWO
向榮生技,-13.21,-0.36,⚪ 數據不足,2025,76.3000030518,-70.05,0.0,🧐 疑業外收益,27.259999999999998,N/A,23.4,N/A,-3.86,-5.58,-1.89,2026-03,6794.TW
南緯,-197.83,0.11,⚪ 數據不足,2025,8.2299995422,-28.950000000000003,0.0,🔄 轉虧為盈,27.04000000000002,23.39%,450.0,1.90%,422.96,2.23,-0.45,2026-03,1467.TW
頌勝科技,-27.83,1.62,⚪ 數據不足,2025,271.5,0.0,0.0,🚀 利潤擴張,26.23,N/A,42.86,N/A,16.63,3.08,3.24,2026-03,7768.TW
未知,-27.83,1.62,⚪ 數據不足,2025,0.0,0.0,0.0,🚀 利潤擴張,26.23,N/A,42.86,N/A,16.63,3.08,3.24,2026-03,7768.TWO
大東電,11.37,4.33,⚪ 數據不足,2025,0.0,0.0,0.0,🚀 利潤擴張,25.689999999999998,21.29%,38.11,16.93%,12.42,20.5,13.61,2026-03,1623.TW
元大金,-1.08,1.08,💎 強力關注,2025,69.6999969482,105.6,9.900567748323862,🏰 高護城河,20.689999999999998,80.00%,83.05,33.03%,62.36,6.4,2.74,2026-03,2885.TW
中連,-66.0,0.32,✅ 穩健價值,2025,31.25,33.45,14.013452914798206,🚀 利潤擴張,19.960000000000004,N/A,45.45,N/A,25.49,0.36,0.85,2026-03,5604.TWO
宏遠證,-11.63,0.89,💎 強力關注,2025,17.1499996185,24.599999999999998,10.457316840548781,🚀 利潤擴張,19.539999999999964,N/A,470.83,N/A,451.29,0.56,0.76,2026-03,6015.TWO
力新,-134.86,-0.19,⚪ 數據不足,2025,11.6999998093,-30.900000000000002,0.0,🚀 利潤擴張,18.900000000000002,N/A,45.71,N/A,26.81,-8.35,-0.61,2026-03,5202.TWO
華南金,13.1,0.55,💎 強力關注,2025,44.7999992371,70.8,9.49152526209746,🏰 高護城河,18.060000000000002,97.25%,41.03,45.93%,22.97,4.06,1.9,2026-03,2880.TW
