gm,symbol,prev_year,prev_rev_yoy,rev_yoy,prev_eps,est_price,eps_yoy,pe,om,date,advice,price,prev_eps_yoy,status,eps,name,expansion
27.77%,1598.TW,2025,-15.19,145.6,-3.35,-89.10000000000001,153.49,0.0,-13.99%,2026-03,⚪ 數據不足,20.2000007629,-827.91,🔄 轉虧為盈,0.25,岱宇,7.890000000000015
N/A,8272.TWO,2025,15.86,48.18,4.66,136.05,56.0,7.144432530518192,N/A,2026-03,✅ 穩健價值,64.8000030518,24.93,🚀 利潤擴張,0.39,全景軟體,7.82
84.77%,2901.TW,2025,-2.15,30.02,0.38,13.5,37.5,26.11111111111111,20.24%,2026-03,⚠️ 追價風險,23.5,-7.32,🏰 高護城河,0.11,欣欣,7.48
N/A,4178.TWO,2025,-3.6,-11.29,-0.92,0.0,-5.56,0.0,N/A,2026-03,⚪ 數據不足,0.0,14.95,🌑 雙重衰退,-0.19,未知,5.7299999999999995
N/A,4178.TW,2025,-3.6,-11.29,-0.92,0.0,-5.56,0.0,N/A,2026-03,⚪ 數據不足,18.0499992371,14.95,🌑 雙重衰退,-0.19,永笙-KY,5.7299999999999995
N/A,6195.TWO,2025,-3.57,109.17,0.99,63.6,114.29,6.65094357615566,N/A,2026-03,✅ 穩健價值,28.2000007629,-38.13,🚀 利潤擴張,1.5,詩肯,5.1200000000000045
83.45%,2886.TW,2025,-1.77,12.57,2.36,91.94999999999999,16.67,7.479608233947799,33.61%,2026-03,✅ 穩健價值,45.8499984741,0.85,🏰 高護城河,0.63,兆豐金,4.100000000000001
73.82%,3094.TW,2025,13.2,12.87,0.25,7.35,16.67,79.18367191244899,-7.29%,2026-03,⚠️ 追價風險,38.7999992371,41.18,🏰 高護城河,0.07,聯傑,3.8000000000000025
N/A,4939.TWO,2025,-8.05,296.51,-0.43,-22.2,300.0,0.0,N/A,2026-03,⚪ 數據不足,63.9000015259,-326.32,🔄 轉虧為盈,0.24,亞電,3.490000000000009
N/A,7839.TWO,2025,8.14,2.45,2.56,0.0,5.8,0.0,N/A,2026-03,⚪ 數據不足,45.75,18.52,🚀 利潤擴張,0.73,達人網,3.3499999999999996
N/A,7777.TWO,2025,15.88,32.83,0.58,12.149999999999999,35.9,49.4444435025926,N/A,2026-03,⚠️ 追價風險,40.0499992371,-16.92,🚀 利潤擴張,-0.25,能率亞洲,3.0700000000000003
