prev_eps_yoy,om,expansion,symbol,status,price,name,prev_eps,rev_yoy,eps_yoy,est_price,eps,prev_year,pe,gm,advice,date,prev_rev_yoy
152.25,N/A,61.81999999999999,1533.TW,🚀 利潤擴張,0.0,車王電,0.58,438.18,500.0,0.0,0.84,2025,0.0,N/A,⚪ 數據不足,2026-03,19.69
34.55,7.12%,61.76999999999998,1904.TW,🚀 利潤擴張,0.0,正隆,0.74,538.23,600.0,0.0,0.56,2025,0.0,20.98%,⚪ 數據不足,2026-03,-4.85
-26.32,N/A,56.41999999999999,6208.TWO,🚀 利潤擴張,0.0,日揚,2.52,150.03,206.45,0.0,1.9,2025,0.0,N/A,⚪ 數據不足,2026-03,-4.59
-36.9,N/A,55.839999999999975,4747.TWO,🚀 利潤擴張,0.0,強生,1.19,148.33,204.17,0.0,1.46,2025,0.0,N/A,⚪ 數據不足,2026-03,-6.81
49.15,N/A,55.43000000000001,8040.TWO,🔄 轉虧為盈,0.0,九暘,-0.6,189.01,244.44,0.0,0.13,2025,0.0,N/A,⚪ 數據不足,2026-03,2.65
905.92,-106.23%,54.05000000000001,4123.TWO,🚀 利潤擴張,0.0,晟德,12.33,185.42,239.47,0.0,2.62,2025,0.0,41.95%,⚪ 數據不足,2026-03,-6.28
-48.08,N/A,52.519999999999996,6934.TW,🌑 雙重衰退,0.0,心誠鎂,-3.92,-55.48,-2.96,0.0,-1.43,2025,0.0,N/A,⚪ 數據不足,2026-03,-29.22
66.34,N/A,51.74000000000001,6574.TWO,🚀 利潤擴張,0.0,霈方,6.82,95.63,147.37,0.0,3.29,2025,0.0,N/A,⚪ 數據不足,2026-03,6.51
38.44,N/A,47.56,7711.TW,🚀 利潤擴張,0.0,永擎,13.04,91.93,139.49,0.0,7.68,2025,0.0,N/A,⚪ 數據不足,2026-03,182.72
-36.17,N/A,46.579999999999984,3287.TWO,🚀 利潤擴張,0.0,廣寰科,1.5,359.48,406.06,0.0,1.01,2025,0.0,N/A,⚪ 數據不足,2026-03,23.54
544.54,N/A,45.849999999999994,9949.TWO,🚀 利潤擴張,0.0,琉園,5.29,66.65,112.5,0.0,0.03,2025,0.0,N/A,⚪ 數據不足,2026-03,-17.0
31.64,N/A,39.24,6620.TWO,🚀 利潤擴張,0.0,漢達,4.85,15.93,55.17,0.0,0.46,2025,0.0,N/A,⚪ 數據不足,2026-03,108.17
-93.75,-8.17%,35.860000000000014,2388.TW,🚀 利潤擴張,0.0,威盛,0.12,264.14,300.0,0.0,0.08,2025,0.0,20.64%,⚪ 數據不足,2026-03,-40.0
-5.7,14.95%,34.20000000000002,3556.TWO,🏰 高護城河,0.0,禾瑞亞,2.15,156.04,190.24,0.0,1.19,2025,0.0,50.66%,⚪ 數據不足,2026-03,1.24
91.67,N/A,32.379999999999995,7821.TW,🚀 利潤擴張,0.0,神數,2.99,10.24,42.62,0.0,0.87,2025,0.0,N/A,⚪ 數據不足,2026-03,19.28
-17.2,30.89%,28.590000000000003,2072.TWO,🚀 利潤擴張,0.0,未知,7.56,6.33,34.92,0.0,11.94,2025,0.0,35.24%,⚪ 數據不足,2025-12,15.19
-13.21,N/A,27.259999999999998,6794.TW,🧐 疑業外收益,0.0,向榮生技,-1.89,-3.86,23.4,0.0,-0.36,2025,0.0,N/A,⚪ 數據不足,2026-03,-5.58
-197.83,1.90%,27.04000000000002,1467.TW,🔄 轉虧為盈,0.0,南緯,-0.45,422.96,450.0,0.0,0.11,2025,0.0,23.39%,⚪ 數據不足,2026-03,2.23
-27.83,N/A,26.23,7768.TW,🚀 利潤擴張,0.0,頌勝科技,3.24,16.63,42.86,0.0,1.62,2025,0.0,N/A,⚪ 數據不足,2026-03,3.08
-27.83,N/A,26.23,7768.TWO,🚀 利潤擴張,0.0,未知,3.24,16.63,42.86,0.0,1.62,2025,0.0,N/A,⚪ 數據不足,2026-03,3.08
11.37,16.93%,25.689999999999998,1623.TW,🚀 利潤擴張,0.0,大東電,13.61,12.42,38.11,0.0,4.33,2025,0.0,21.29%,⚪ 數據不足,2026-03,20.5
-1.08,33.03%,20.689999999999998,2885.TW,🏰 高護城河,0.0,元大金,2.74,62.36,83.05,0.0,1.08,2025,0.0,80.00%,⚪ 數據不足,2026-03,6.4
-66.0,N/A,19.960000000000004,5604.TWO,🚀 利潤擴張,0.0,中連,0.85,25.49,45.45,0.0,0.32,2025,0.0,N/A,⚪ 數據不足,2026-03,0.36
-11.63,N/A,19.539999999999964,6015.TWO,🚀 利潤擴張,0.0,宏遠證,0.76,451.29,470.83,0.0,0.89,2025,0.0,N/A,⚪ 數據不足,2026-03,0.56
-134.86,N/A,18.900000000000002,5202.TWO,🚀 利潤擴張,0.0,力新,-0.61,26.81,45.71,0.0,-0.19,2025,0.0,N/A,⚪ 數據不足,2026-03,-8.35
13.1,45.93%,18.060000000000002,2880.TW,🏰 高護城河,0.0,華南金,1.9,22.97,41.03,0.0,0.55,2025,0.0,97.25%,⚪ 數據不足,2026-03,4.06
35.0,8.13%,17.97999999999999,3581.TWO,🚀 利潤擴張,0.0,博磊,0.81,216.8,234.78,0.0,0.31,2025,0.0,31.93%,⚪ 數據不足,2026-03,13.9
28.3,32.37%,17.229999999999997,2836.TW,🏰 高護城河,0.0,高雄銀,0.68,16.1,33.33,0.0,0.2,2025,0.0,89.95%,⚪ 數據不足,2026-03,14.52
107.11,N/A,15.160000000000025,4991.TWO,🚀 利潤擴張,0.0,環宇-KY,0.15,316.27,331.43,0.0,1.67,2025,0.0,N/A,⚪ 數據不足,2026-03,25.43
14.12,N/A,12.35,7819.TWO,🧐 疑業外收益,0.0,精誠金融,2.91,-1.82,10.53,0.0,0.42,2025,0.0,N/A,⚪ 數據不足,2026-03,10.14
-10.99,39.14%,12.0,2883.TW,🏰 高護城河,0.0,凱基金,1.74,22.04,34.04,0.0,0.69,2025,0.0,78.38%,⚪ 數據不足,2026-03,-12.26
-14.12,N/A,10.350000000000001,6657.TW,🚀 利潤擴張,0.0,華安,-2.92,41.94,52.29,0.0,-0.53,2025,0.0,N/A,⚪ 數據不足,2026-03,-0.97
4.19,60.64%,9.14,3529.TWO,🏰 高護城河,0.0,力旺,25.6,19.99,29.13,0.0,7.98,2025,0.0,100.00%,⚪ 數據不足,2026-03,6.74
-53.57,-4.59%,8.629999999999995,1236.TW,🔄 轉虧為盈,0.0,宏亞,-0.43,274.7,283.33,0.0,0.23,2025,0.0,24.77%,⚪ 數據不足,2026-03,-8.31
-827.91,-13.99%,7.890000000000015,1598.TW,🔄 轉虧為盈,0.0,岱宇,-3.35,145.6,153.49,0.0,0.25,2025,0.0,27.77%,⚪ 數據不足,2026-03,-15.19
24.93,N/A,7.82,8272.TWO,🚀 利潤擴張,0.0,全景軟體,4.66,48.18,56.0,0.0,0.39,2025,0.0,N/A,⚪ 數據不足,2026-03,15.86
-7.32,20.24%,7.48,2901.TW,🏰 高護城河,0.0,欣欣,0.38,30.02,37.5,0.0,0.11,2025,0.0,84.77%,⚪ 數據不足,2026-03,-2.15
14.95,N/A,5.7299999999999995,4178.TWO,🌑 雙重衰退,0.0,未知,-0.92,-11.29,-5.56,0.0,-0.19,2025,0.0,N/A,⚪ 數據不足,2026-03,-3.6
14.95,N/A,5.7299999999999995,4178.TW,🌑 雙重衰退,19.0,永笙-KY,-0.92,-11.29,-5.56,0.0,-0.19,2025,0.0,N/A,⚪ 數據不足,2026-03,-3.6
