=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
6499.TWO   |    MA5     |    27.3% |    261.39% |      256
2387.TW    |    MA60    |    20.8% |    124.86% |       77
00968B.TWO |    MA10    |    16.7% |    -10.77% |       24
2609.TW    |    MA60    |    22.9% |   1353.76% |       70
3057.TW    |    MA10    |    21.4% |     51.70% |      215
3632.TWO   |    MA60    |    18.6% |    -76.42% |       70
6548.TWO   |    MA60    |    28.8% |    435.14% |       73
00713.TW   |    MA60    |    22.2% |     73.88% |       45
4764.TW    |    MA20    |    22.2% |    -31.48% |      135
2887I.TW   |    MA60    |    25.0% |     -1.78% |        4
6472.TW    |    MA20    |    33.3% |    309.88% |      135
6863.TW    |    MA20    |    28.6% |     16.06% |       28
2365.TW    |    MA5     |    25.2% |     88.94% |      302
2425.TW    |    MA20    |    26.5% |    152.97% |      113
3594.TWO   |    MA10    |    30.1% |     44.46% |      209
4561.TWO   |    MA60    |    23.1% |    114.65% |       39
6128.TW    |    MA60    |    27.5% |     21.64% |       69
3008.TW    |    MA5     |    25.2% |   -153.85% |      325
5321.TWO   |    MA60    |    23.3% |    447.06% |       73
3379.TWO   |    MA20    |    19.2% |     72.91% |      177
2723.TW    |    MA60    |    33.3% |     65.98% |       72
3625.TWO   |    MA20    |    31.3% |    137.43% |      134
3141.TWO   |    MA60    |    27.4% |    561.41% |       62
7740.TW    |    MA5     |    33.3% |     -7.38% |       12
6708.TWO   |    MA20    |    30.4% |     53.10% |       69
1589.TW    |    MA60    |    21.4% |    -53.43% |       70
1435.TW    |    MA60    |    22.8% |    212.93% |       92
9945.TW    |    MA60    |    26.8% |     96.02% |       82
9904.TW    |    MA60    |    28.9% |    -57.27% |       97
6140.TWO   |    MA60    |    20.3% |    -46.55% |      123
4949.TW    |    MA20    |    23.8% |    123.82% |       21
1312.TW    |    MA60    |    24.4% |    -34.77% |       90
3049.TW    |    MA20    |    29.4% |     59.65% |      136
1537.TW    |    MA20    |    21.5% |    -69.84% |      186
2515.TW    |    MA10    |    25.9% |     73.61% |      212
1723.TW    |    MA20    |    17.1% |    -88.21% |      152
6179.TWO   |    MA5     |    26.6% |    -62.74% |      293
00951.TW   |    MA10    |    44.0% |     34.30% |       25
6264.TWO   |    MA60    |    10.6% |    -21.80% |       66
2457.TW    |    MA60    |    19.4% |    276.20% |       72
6203.TWO   |    MA10    |    27.8% |     58.51% |      205
8926.TW    |    MA10    |    20.7% |     -9.80% |      242
3028.TW    |    MA10    |    29.7% |     84.11% |      209
3430.TWO   |    MA10    |    30.2% |    134.24% |      199
3265.TWO   |    MA10    |    34.4% |    175.84% |      189
3481.TW    |    MA60    |    20.3% |     72.46% |       79
2941.TWO   |    MA60    |    20.0% |     95.16% |       25
6841.TWO   |    MA5     |    26.7% |    -41.97% |      101
2067.TWO   |    MA60    |    15.4% |   -189.97% |      130
2409.TW    |    MA10    |    29.7% |     77.86% |      202
00942B.TWO |    MA20    |    44.4% |      2.08% |       18
3236.TWO   |    MA60    |    27.9% |    175.72% |       68
00722B.TWO |    MA20    |    25.6% |     -3.39% |       86
3289.TWO   |    MA10    |    28.7% |     69.46% |      209
00970B.TWO |    MA10    |    14.8% |    -11.63% |       27
0050.TW    |    MA10    |    30.5% |    102.11% |      190
3710.TWO   |    MA10    |    26.4% |    -13.27% |      201
3090.TW    |    MA10    |    29.0% |    123.35% |      214
6719.TW    |    MA10    |    28.8% |    -69.67% |       73
3556.TWO   |    MA10    |    25.6% |     29.09% |      203
00679B.TWO |    MA20    |    28.3% |    -33.88% |      113
1711.TW    |    MA60    |    25.0% |    -79.67% |       92
1102.TW    |    MA60    |    28.2% |    -26.52% |       71
TXF.TW     |    MA10    |    33.0% |     32.80% |      188
3088.TWO   |    MA20    |    24.7% |     19.67% |      154
5508.TWO   |    MA60    |    20.9% |    335.56% |       67
4562.TW    |    MA20    |    19.4% |     -9.93% |      160
6904.TWO   |    MA20    |    27.0% |     11.77% |       37
8044.TWO   |    MA60    |    27.0% |    -66.30% |       74
3530.TW    |    MA60    |    29.6% |    207.13% |       71
1599.TWO   |    MA10    |    22.4% |    -20.71% |      219
3092.TW    |    MA20    |    23.6% |    136.02% |      148
1726.TW    |    MA10    |    18.1% |   -143.92% |      282
00985B.TW  |    MA20    |    50.0% |      3.33% |        2
2618.TW    |    MA10    |    29.2% |     49.84% |      219
2489.TW    |    MA60    |    22.9% |     79.23% |       70
6509.TWO   |    MA10    |    27.8% |     33.50% |      205
2838.TW    |    MA10    |    22.6% |    -43.49% |      221
3501.TW    |    MA20    |    25.4% |    -19.34% |      142
8039.TW    |    MA10    |    24.2% |    -13.28% |      227
3105.TWO   |    MA10    |    33.2% |    152.11% |      220
8478.TW    |    MA10    |    26.5% |    143.96% |      189
3550.TW    |    MA20    |    25.9% |    -27.72% |      158
3432.TW    |    MA10    |    24.3% |     17.64% |      218
1514.TW    |    MA5     |    34.5% |    261.01% |      278
7750.TW    |    MA20    |   100.0% |      9.77% |        1
4912.TW    |    MA60    |    28.6% |    244.12% |       84
3015.TW    |    MA20    |    27.8% |     49.90% |      144
3703.TW    |    MA60    |    32.4% |    124.01% |       68
1735.TW    |    MA60    |    21.3% |    -90.19% |      108
1522.TW    |    MA60    |    31.6% |    131.27% |       79
00712.TW   |    MA20    |    32.2% |     39.87% |       87
6196.TW    |    MA10    |    37.7% |    279.57% |      191
5299.TWO   |    MA60    |    24.4% |    416.28% |       82
6405.TW    |    MA10    |    27.4% |    109.95% |      201
2423.TW    |    MA5     |    27.1% |   -107.40% |      336
00673R.TW  |    MA60    |    26.1% |    281.05% |       69
1784.TWO   |    MA60    |    27.4% |      9.04% |       95
5425.TWO   |    MA10    |    34.6% |    112.51% |      205
1307.TW    |    MA20    |    30.1% |     20.85% |      146
4960.TW    |    MA10    |    28.1% |     20.81% |      203
2235.TWO   |    MA20    |    20.7% |   -118.62% |      164
3629.TWO   |    MA10    |    25.7% |     49.66% |      222
6683.TWO   |    MA10    |    32.1% |    237.68% |      112
3290.TWO   |    MA60    |    31.1% |     23.52% |       74
1513.TW    |    MA20    |    23.5% |    161.79% |      170
1455.TW    |    MA20    |    27.5% |    169.03% |      131
6730.TWO   |    MA5     |    23.0% |   -157.88% |      178
3038.TW    |    MA60    |    30.1% |    126.31% |       83
2485.TW    |    MA20    |    28.1% |     54.95% |      139
1466.TW    |    MA10    |    16.4% |    -52.46% |      256
4533.TWO   |    MA20    |    25.8% |    100.94% |      159
00631L.TW  |    MA10    |    35.4% |    247.35% |      178
6855.TWO   |    MA60    |    22.6% |     26.14% |       31
2108.TW    |    MA60    |    27.8% |    232.07% |       54
1409.TW    |    MA60    |    21.4% |     13.68% |       98
2049.TW    |    MA10    |    35.3% |    120.64% |      204
6859.TWO   |    MA60    |    11.6% |    -40.42% |       43
1582.TW    |    MA20    |    25.9% |     76.08% |      143
6212.TWO   |    MA60    |    14.5% |   -182.94% |      138
5474.TWO   |    MA20    |    28.6% |    437.69% |      133
8438.TW    |    MA20    |    21.8% |    112.89% |      124
5351.TWO   |    MA10    |    28.2% |     81.29% |      216
1560.TW    |    MA20    |    33.3% |    149.43% |      123
9105.TW    |    MA10    |    29.7% |    348.15% |      209
2353.TW    |    MA60    |    21.8% |     64.51% |       87
2646.TW    |    MA60    |    14.3% |     -9.11% |        7
1736.TW    |    MA60    |    23.5% |    139.95% |       81
6190.TWO   |    MA5     |    32.1% |      4.36% |      302
2331.TW    |    MA5     |    32.1% |    103.25% |      290
9910.TW    |    MA20    |    24.1% |    -14.37% |      158
5471.TW    |    MA20    |    31.9% |    -22.14% |      138
00909.TW   |    MA10    |    38.9% |    119.33% |       54
3508.TWO   |    MA5     |    29.6% |    246.20% |      284
2498.TW    |    MA10    |    28.2% |     55.58% |      220
00753L.TW  |    MA20    |    38.0% |     44.00% |       79
6861.TW    |    MA10    |    24.4% |    -13.84% |       78
8110.TW    |    MA20    |    35.7% |    389.02% |      143
2481.TW    |    MA10    |    34.2% |    297.30% |      202
5516.TWO   |    MA60    |    18.9% |    -74.12% |      127
5223.TWO   |    MA20    |    23.3% |     36.16% |       90
3083.TWO   |    MA10    |    27.9% |    121.25% |      201
7777.TWO   |    MA5     |    19.5% |    102.89% |       41
2393.TW    |    MA10    |    31.9% |     37.84% |      204
3615.TWO   |    MA5     |    29.3% |     62.68% |      307
6207.TWO   |    MA5     |    30.7% |     59.23% |      290
5205.TWO   |    MA5     |    21.2% |     18.69% |      264
6937.TW    |    MA10    |    32.8% |     45.80% |       61
1611.TW    |    MA20    |    24.2% |    -43.46% |      161
6230.TW    |    MA60    |    27.1% |    144.39% |       96
2413.TW    |    MA10    |    26.8% |    222.21% |      190
6887.TW    |    MA60    |     0.0% |     -1.21% |        1
6188.TWO   |    MA10    |    32.8% |    192.26% |      195
2726.TWO   |    MA60    |    26.1% |     33.67% |       69
2103.TW    |    MA60    |    20.7% |    -38.66% |       87
6980.TWO   |    MA20    |    23.1% |    130.41% |       26
8089.TWO   |    MA60    |    18.4% |    310.13% |       38
6890.TW    |    MA60    |    33.3% |    -41.02% |        9
2431.TW    |    MA60    |    25.0% |    -67.87% |       84
9921.TW    |    MA60    |    17.9% |    -14.96% |       84
6640.TWO   |    MA10    |    29.9% |    191.13% |      164
2451.TW    |    MA20    |    31.7% |     85.70% |      145
3526.TWO   |    MA20    |    34.3% |    226.12% |      137
00770.TW   |    MA60    |    35.0% |     62.07% |       40
3234.TWO   |    MA10    |    29.4% |    120.63% |      218
00795B.TWO |    MA20    |    30.9% |    -19.27% |       81
