📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
1762.TW    | 次數: 2    | 勝率:  50.00% | 累計:    1.17%
2388.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -5.60%
6234.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    1.53%
3360.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -7.63%
1256.TW    | 次數: 2    | 勝率:  50.00% | 累計:    1.11%
3260.TWO   | 次數: 1    | 勝率:   0.00% | 累計:  -10.87%
3673.TW    | 次數: 2    | 勝率:  50.00% | 累計:   32.67%
2035.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -1.92%
5230.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -2.91%
3169.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -3.98%
1516.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -19.21%
3413.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -8.53%
00693U.TW  | 次數: 1    | 勝率: 100.00% | 累計:    3.02%
3516.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    0.25%
1323.TW    | 次數: 1    | 勝率: 100.00% | 累計:   14.66%
3071.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    0.35%
8046.TW    | 次數: 3    | 勝率:  33.33% | 累計:   18.98%
1445.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -3.54%
00931B.TWO | 次數: 1    | 勝率:   0.00% | 累計:   -0.35%
2419.TW    | 次數: 3    | 勝率:  66.67% | 累計:   19.11%
2392.TW    | 次數: 1    | 勝率: 100.00% | 累計:    0.88%
4741.TWO   | 次數: 2    | 勝率: 100.00% | 累計:  132.41%
4966.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    4.14%
3045.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -0.92%
6515.TW    | 次數: 2    | 勝率: 100.00% | 累計:   52.01%
8171.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    2.21%
00634R.TW  | 次數: 2    | 勝率:  50.00% | 累計:   -1.24%
3715.TW    | 次數: 6    | 勝率:  33.33% | 累計:  -24.64%
6958.TW    | 次數: 2    | 勝率:  50.00% | 累計:    5.47%
3444.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   11.82%
8027.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   12.66%
4991.TWO   | 次數: 3    | 勝率: 100.00% | 累計:   22.98%
2024.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -5.20%
4542.TWO   | 次數: 3    | 勝率:  33.33% | 累計:    3.13%
6415.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.09%
2207.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -2.86%
3597.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -3.69%
5536.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -5.82%
6104.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -1.93%
