prev_eps_yoy,symbol,advice,prev_eps,prev_year,price,est_price,rev_yoy,gm,eps_yoy,date,pe,om,expansion,prev_rev_yoy,name,status,eps
29.25,6465.TWO,⚪ 數據不足,-0.75,2025,45.2000007629,-14.549999999999999,63.6,N/A,168.25,2025-12,0.0,N/A,104.65,5.09,威潤,🔄 轉虧為盈,0.86
-29.03,3135.TW,⚪ 中性觀察,1.5,2025,141.5,131.09999999999997,39.88,19.12%,143.64,2025-12,16.18993135011442,16.62%,103.75999999999999,34.74,凌航,🚀 利潤擴張,6.33
156.36,6150.TWO,💎 強力關注,1.55,2025,55.0999984741,79.8,61.2,N/A,164.15,2025-12,10.35714257031955,N/A,102.95,77.79,撼訊,🚀 利潤擴張,2.63
102.43,2465.TW,⚠️ 追價風險,0.09,2025,74.0,19.2,5.42,10.44%,107.41,2025-12,57.8125,2.26%,101.99,32.51,麗臺,🚀 利潤擴張,0.43
241.67,2926.TWO,⚠️ 追價風險,0.34,2025,37.5999984741,19.05,1.84,40.82%,100.0,2025-12,29.60629801110236,-1.48%,98.16,2.58,誠品生活,🚀 利潤擴張,0.54
41.94,1541.TW,💎 強力關注,1.32,2025,23.9500007629,65.7,21.45,19.55%,118.87,2025-12,5.468036703858448,7.07%,97.42,28.08,錩泰,🚀 利潤擴張,2.32
133.57,2380.TW,💎 強力關注,0.47,2025,5.6199998856,29.099999999999998,13.61,24.41%,110.31,2025-12,2.8969071575257734,0.24%,96.7,9.38,虹光,🚀 利潤擴張,0.72
103.17,4971.TWO,⚪ 數據不足,0.09,2025,791.0,-7.0500000000000025,50.49,N/A,146.97,2025-12,0.0,N/A,96.47999999999999,54.63,IET-KY,🚀 利潤擴張,1.65
116.43,5516.TWO,⚪ 數據不足,0.34,2025,11.75,-7.35,8.41,N/A,104.43,2025-12,0.0,N/A,96.02000000000001,7.31,雙喜,🚀 利潤擴張,0.16
317.65,3363.TWO,⚠️ 追價風險,0.37,2025,769.0,10.65,38.72,12.43%,134.04,2025-12,1083.0985915492956,-9.15%,95.32,49.52,上詮,🚀 利潤擴張,0.16
167.2,6739.TWO,⚠️ 追價風險,10.13,2025,1420.0,520.3499999999999,96.69,N/A,191.99,2025-12,40.93398673969444,N/A,95.30000000000001,94.38,竹陞科技,🚀 利潤擴張,16.13
