股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
2017.TW      官田鋼            9.57         18        42.86           4.34        1         -507 📈 持有 → 繼續持有         
2022.TW      聚亨             8.96          3        31.58           0.97        9           63 📈 持有 → 繼續持有         
2023.TW      燁輝            14.55         19        33.33          -2.33        3        -2754 📉 建議賣出              
2027.TW      大成鋼            37.4         14        45.45           0.56        3        -7521 📈 持有 → 繼續持有         
2031.TW      新光鋼            39.7         11        36.84           -3.3        4          859 📈 持有 → 繼續持有         
2034.TW      允強            20.35          8         62.5            5.6        2          758 📈 持有 → 繼續持有         
2035.TWO     唐榮             28.4          4        33.33          -0.39        6            0 📉 建議賣出              
2049.TW      上銀            235.5          3        47.83          18.13        9         1217 📉 建議賣出              
2059.TW      川湖           3350.0          5        52.63           3.78        3          111 📈 持有 → 繼續持有         
2061.TWO     風青             17.7         19         20.0          -3.21        1          -51 📉 建議賣出              
2066.TWO     世德             50.3          3        53.33          16.52        7            4 📉 建議賣出              
2067.TWO     嘉鋼             8.15         13         40.0          -4.67        3           46 📉 建議賣出              
2069.TW      運錩             18.9          4        54.55           7.42        5           10 📉 建議賣出              
2072.TWO     世紀風電          241.0         16        58.82          11.71        1            0 📉 建議賣出              
2103.TW      台橡            20.65         14         60.0          34.53        1        -5052 📈 持有 → 繼續持有         
2104.TW      國際中橡           12.5          3        52.38          18.63        8         -502 📈 持有 → 繼續持有         
2105.TW      正新            30.05          3        52.63           0.34        8           91 📈 持有 → 繼續持有         
2108.TW      南帝            25.45          6        45.45          11.12        4           17 📈 持有 → 繼續持有         
2115.TW      六暉-KY         21.75          6         40.0           4.27        3           52 📉 建議賣出              
2201.TW      裕隆             28.0         18          0.0            0.0        0        -1861 📉 建議賣出              
2204.TW      中華             56.7          8        56.25           3.21        2         -687 📈 持有 → 繼續持有         
2206.TW      三陽工業           58.5          7        64.29           1.17        3        -1307 📉 建議賣出              
