gm,symbol,om,est_price,prev_eps,expansion,prev_eps_yoy,prev_rev_yoy,name,status,eps_yoy,pe,advice,date,eps,price,prev_year,rev_yoy
N/A,5386.TWO,N/A,229.49999999999997,3.03,126.62,103.38,12.38,青雲,🚀 利潤擴張,159.21,30.58823529411765,⚠️ 追價風險,2025-12,8.61,468.0,2025,32.59
N/A,6021.TWO,N/A,66.44999999999999,2.46,126.13000000000001,128.3,13.11,美好證,🚀 利潤擴張,161.27,7.223476297968398,💎 強力關注,2025-12,3.76,32.0,2025,35.14
27.46%,3540.TWO,-3.44%,0.0,0.47,126.13,147.47,30.74,曜越,🚀 利潤擴張,155.22,0.0,⚪ 數據不足,2025-12,0.74,0.0,2025,29.09
N/A,8473.TW,N/A,105.44999999999999,2.05,125.85999999999999,130.34,62.88,山林水,🚀 利潤擴張,177.17,5.789473792731152,💎 強力關注,2025-12,2.55,40.7000007629,2025,51.31
31.80%,3105.TWO,13.87%,69.75,1.57,125.67999999999999,-40.53,-13.87,穩懋,🧐 疑業外收益,120.99,103.87096774193547,⚠️ 追價風險,2025-12,4.0,483.0,2025,-4.69
N/A,6276.TWO,N/A,43.650000000000006,0.66,122.4,128.33,28.81,安鈦克,🚀 利潤擴張,142.59,10.000000131099656,💎 強力關注,2025-12,0.92,29.1000003815,2025,20.19
28.43%,1512.TW,-3.62%,3.75,0.04,119.85,111.76,2.64,瑞利,🚀 利潤擴張,127.94,27.8400001524,⚠️ 追價風險,2025-12,0.19,6.9600000381,2025,8.09
32.97%,2596.TWO,26.41%,67.5,1.04,117.96000000000001,425.0,217.33,綠意,🚀 利潤擴張,177.61,6.433333502866667,💎 強力關注,2025-12,1.86,28.9500007629,2025,59.65
N/A,8080.TWO,N/A,10.350000000000001,0.2,116.91,190.91,34.06,泰霖,🚀 利潤擴張,139.29,40.57971014492753,⚠️ 追價風險,2025-12,0.12,28.0,2025,22.38
31.93%,4555.TW,2.93%,0.6000000000000001,-0.02,114.62,97.22,8.77,氣立,🔄 轉虧為盈,122.09,1164.9999618524996,⚠️ 追價風險,2025-12,0.19,46.5999984741,2025,7.47
N/A,6198.TWO,N/A,-7.5,-0.12,113.42999999999999,55.56,-92.7,瑞築,🧐 疑業外收益,23.33,0.0,⚪ 數據不足,2025-12,-0.23,22.1000003815,2025,-90.1
35.38%,4702.TWO,-88.29%,5.250000000000002,0.23,113.31,-14.81,-60.26,中美實,🧐 疑業外收益,51.72,27.742857251714277,⚠️ 追價風險,2025-12,0.88,9.7100000381,2025,-61.59
48.37%,3260.TWO,35.36%,592.05,10.08,112.57,19.56,22.8,威剛,🚀 利潤擴張,144.7,10.463643273372181,💎 強力關注,2025-12,23.18,413.0,2025,32.13
-19.82%,2025.TW,14.50%,-17.700000000000003,-0.41,109.96,28.07,-15.81,千興,🧐 疑業外收益,87.32,0.0,⚪ 數據不足,2025-12,-0.18,11.6499996185,2025,-22.64
N/A,8455.TWO,N/A,-4.95,0.02,109.10000000000001,104.35,-7.04,大拓-KY,🧐 疑業外收益,102.7,0.0,⚪ 數據不足,2025-12,0.02,42.7999992371,2025,-6.4
N/A,9955.TW,N/A,-5.399999999999999,-0.37,108.56,50.67,17.8,佳龍,🔄 轉虧為盈,134.62,0.0,⚪ 數據不足,2025-12,0.54,28.2000007629,2025,26.06
