eps,symbol,prev_year,name,expansion,status,eps_yoy,rev_yoy,prev_eps_yoy,prev_rev_yoy,price,est_price,date,om,advice,gm,pe,prev_eps
0.17,5227.TWO,2025,立凱-KY,137.15,🧐 疑業外收益,104.91,-32.24,199.67,-19.06,25.5499992371,9.450000000000005,2025-12,N/A,⚠️ 追價風險,N/A,40.55555434460315,2.99
0.71,6485.TWO,2025,點序,135.37,🔄 轉虧為盈,152.21,16.84,70.64,14.7,88.4000015259,18.9,2025-12,N/A,⚠️ 追價風險,N/A,70.1587313697619,-0.32
2.13,2408.TW,2025,南亞科,134.79,🔄 轉虧為盈,229.88,95.09,-28.32,32.43,333.0,-28.5,2025-12,39.15%,⚪ 數據不足,49.05%,0.0,-1.45
7.11,3709.TWO,2025,鑫聯大投控,133.87,🚀 利潤擴張,178.19,44.32,167.46,55.41,74.0,205.50000000000003,2025-12,5.14%,💎 強力關注,8.09%,5.401459854014598,3.61
-1.11,3466.TWO,2025,德晉,131.46,🧐 疑業外收益,58.98,-72.48,65.77,-68.41,32.9500007629,-57.45,2025-12,-223.66%,⚪ 數據不足,-8.98%,0.0,-0.81
3.44,3081.TWO,2025,聯亞,130.47000000000003,🏰 高護城河,645.65,515.18,884.75,82.29,2245.0,183.0,2026-03,41.27%,⚠️ 追價風險,54.76%,184.01639344262296,4.66
-0.95,4934.TW,2025,太極,129.82,🧐 疑業外收益,54.11,-75.71,16.25,-81.44,16.25,-35.85,2025-12,-456.27%,⚪ 數據不足,-156.07%,0.0,-0.67
3.56,2607.TW,2025,榮運,127.97999999999999,🧐 疑業外收益,108.46,-19.52,139.38,-19.69,49.4000015259,130.35,2025-12,6.32%,💎 強力關注,18.52%,5.684695227376295,2.72
8.61,5386.TWO,2025,青雲,126.62,🚀 利潤擴張,159.21,32.59,103.38,12.38,495.0,229.49999999999997,2025-12,N/A,⚠️ 追價風險,N/A,32.35294117647059,3.03
3.76,6021.TWO,2025,美好證,126.13000000000001,🚀 利潤擴張,161.27,35.14,128.3,13.11,38.7999992371,66.44999999999999,2025-12,N/A,💎 強力關注,N/A,8.758464839074493,2.46
0.74,3540.TWO,2025,曜越,126.13,🚀 利潤擴張,155.22,29.09,147.47,30.74,25.5,27.450000000000003,2025-12,-3.44%,✅ 穩健價值,27.46%,13.934426229508196,0.47
2.55,8473.TW,2025,山林水,125.85999999999999,🚀 利潤擴張,177.17,51.31,130.34,62.88,50.2999992371,105.44999999999999,2025-12,N/A,💎 強力關注,N/A,7.155049678108109,2.05
4.0,3105.TWO,2025,穩懋,125.67999999999999,🧐 疑業外收益,120.99,-4.69,-40.53,-13.87,478.0,69.75,2025-12,13.87%,⚠️ 追價風險,31.80%,102.79569892473117,1.57
0.92,6276.TWO,2025,安鈦克,122.4,🚀 利潤擴張,142.59,20.19,128.33,28.81,25.3999996185,43.650000000000006,2025-12,N/A,💎 強力關注,N/A,8.728522205670103,0.66
0.19,1512.TW,2025,瑞利,119.85,🚀 利潤擴張,127.94,8.09,111.76,2.64,6.8200001717,3.75,2025-12,-3.62%,⚠️ 追價風險,28.43%,27.2800006868,0.04
1.86,2596.TWO,2025,綠意,117.96000000000001,🚀 利潤擴張,177.61,59.65,425.0,217.33,31.5499992371,67.5,2025-12,26.41%,💎 強力關注,32.97%,7.011110941577778,1.04
0.12,8080.TWO,2025,泰霖,116.91,🚀 利潤擴張,139.29,22.38,190.91,34.06,28.0,10.350000000000001,2025-12,N/A,⚠️ 追價風險,N/A,40.57971014492753,0.2
0.19,4555.TW,2025,氣立,114.62,🔄 轉虧為盈,122.09,7.47,97.22,8.77,46.4500007629,0.6000000000000001,2025-12,2.93%,⚠️ 追價風險,31.93%,1161.2500190724998,-0.02
-0.23,6198.TWO,2025,瑞築,113.42999999999999,🧐 疑業外收益,23.33,-90.1,55.56,-92.7,20.6499996185,-7.5,2025-12,N/A,⚪ 數據不足,N/A,0.0,-0.12
0.88,4702.TWO,2025,中美實,113.31,🧐 疑業外收益,51.72,-61.59,-14.81,-60.26,10.0,5.250000000000002,2025-12,-88.29%,⚠️ 追價風險,35.38%,28.57142857142856,0.23
23.18,3260.TWO,2025,威剛,112.57,🚀 利潤擴張,144.7,32.13,19.56,22.8,390.0,592.05,2025-12,35.36%,💎 強力關注,48.37%,9.880922219407145,10.08
-0.18,2025.TW,2025,千興,109.96,🧐 疑業外收益,87.32,-22.64,28.07,-15.81,14.4499998093,-17.700000000000003,2025-12,14.50%,⚪ 數據不足,-19.82%,0.0,-0.41
0.02,8455.TWO,2025,大拓-KY,109.10000000000001,🧐 疑業外收益,102.7,-6.4,104.35,-7.04,28.7999992371,-4.95,2025-12,N/A,⚪ 數據不足,N/A,0.0,0.02
0.54,9955.TW,2025,佳龍,108.56,🔄 轉虧為盈,134.62,26.06,50.67,17.8,26.75,-5.399999999999999,2025-12,N/A,⚪ 數據不足,N/A,0.0,-0.37
13.06,4967.TW,2025,十銓,107.85000000000001,🚀 利潤擴張,110.31,2.46,-46.86,-15.55,269.0,279.75000000000006,2025-12,N/A,✅ 穩健價值,N/A,14.423592493297585,3.47
-0.92,8477.TWO,2025,創業家,106.5,🧐 疑業外收益,53.77,-52.73,80.0,-51.54,18.2999992371,-38.4,2025-12,N/A,⚪ 數據不足,N/A,0.0,-0.62
2.83,2501.TW,2025,國建,106.29,🚀 利潤擴張,108.09,1.8,127.38,7.39,26.6000003815,94.35,2025-12,17.13%,💎 強力關注,26.51%,4.228934877821939,1.91
0.86,6465.TWO,2025,威潤,104.65,🔄 轉虧為盈,168.25,63.6,29.25,5.09,50.4000015259,-14.549999999999999,2025-12,N/A,⚪ 數據不足,N/A,0.0,-0.75
6.33,3135.TW,2025,凌航,103.75999999999999,🚀 利潤擴張,143.64,39.88,-29.03,34.74,208.5,131.09999999999997,2025-12,16.62%,⚠️ 追價風險,19.12%,23.855835240274605,1.5
2.63,6150.TWO,2025,撼訊,102.95,🚀 利潤擴張,164.15,61.2,156.36,77.79,62.2999992371,79.8,2025-12,N/A,💎 強力關注,N/A,11.71052617238722,1.55
0.43,2465.TW,2025,麗臺,101.99,🚀 利潤擴張,107.41,5.42,102.43,32.51,77.0999984741,19.2,2025-12,2.26%,⚠️ 追價風險,10.44%,60.23437380789063,0.09
0.54,2926.TWO,2025,誠品生活,98.16,🚀 利潤擴張,100.0,1.84,241.67,2.58,34.7000007629,19.05,2025-12,-1.48%,⚠️ 追價風險,40.82%,27.32283524637795,0.34
2.32,1541.TW,2025,錩泰,97.42,🚀 利潤擴張,118.87,21.45,41.94,28.08,20.7000007629,65.7,2025-12,7.07%,💎 強力關注,19.55%,4.726027571438356,1.32
0.72,2380.TW,2025,虹光,96.7,🚀 利潤擴張,110.31,13.61,133.57,9.38,5.5999999046,29.099999999999998,2025-12,0.24%,💎 強力關注,24.41%,2.886597888969072,0.47
1.65,4971.TWO,2025,IET-KY,96.47999999999999,🚀 利潤擴張,146.97,50.49,103.17,54.63,547.0,-7.0500000000000025,2025-12,N/A,⚪ 數據不足,N/A,0.0,0.09
0.16,5516.TWO,2025,雙喜,96.02000000000001,🚀 利潤擴張,104.43,8.41,116.43,7.31,11.0,-7.35,2025-12,N/A,⚪ 數據不足,N/A,0.0,0.34
0.16,3363.TWO,2025,上詮,95.32,🚀 利潤擴張,134.04,38.72,317.65,49.52,747.0,10.65,2025-12,-9.15%,⚠️ 追價風險,12.43%,1052.112676056338,0.37
16.13,6739.TWO,2025,竹陞科技,95.30000000000001,🚀 利潤擴張,191.99,96.69,167.2,94.38,1165.0,520.3499999999999,2025-12,N/A,⚠️ 追價風險,N/A,33.58316517728452,10.13
