====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260729 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00756B.TWO   | 群益投等新興公債   | 31.58      | 🟢 持股           |       +0.55% |     11 |    49.73% | [P:0.53] [⚠️降級預設] RSI:36.63|MACD:-0.04|KD_Diff:6.19|D_Value:32.43
00757.TW     | 統一FANG+    | 127.60     | ❄️ 空倉          |      +11.34% |     30 |    51.85% | [P:0.34] RSI:41.60|D_Value:25.53|Vol_Ratio:3.01|BIAS_20:-2.33
00758B.TWO   | 復華能源債      | 51.95      | 🟢 持股           |       +2.92% |     11 |    49.27% | [P:0.53] [⚠️降級預設] RSI:52.17|MACD:-0.02|KD_Diff:9.35|D_Value:36.60
00760B.TWO   | 復華新興企業債    | 54.00      | ❄️ 空倉          |       +5.40% |     48 |    50.24% | [P:0.42] RSI:40.00|KD_Diff:1.11|Vol_Ratio:1.28|MA_Bull:0.00
00761B.TWO   | 國泰A級公司債    | 34.38      | ❄️ 空倉          |       -1.33% |     58 |    51.71% | [P:0.50] KD_Diff:3.02|D_Value:36.88|Vol_Ratio:1.23|MA_Bull:0.00
00763U.TW    | 期街口道瓊銅     | 33.65      | ❄️ 空倉          |      +12.13% |     16 |    52.02% | [P:0.50] [⚠️降級預設] RSI:59.57|MACD:0.14|KD_Diff:-11.82|D_Value:57.25
00764B.TWO   | 群益25年美債    | 28.05      | ❄️ 空倉          |       +0.87% |     36 |    52.86% | [P:0.46] RSI:61.90|D_Value:53.12|MA_Slope:-0.00|MA_Bull:0.00
00768B.TWO   | 復華20年美債    | 50.65      | ❄️ 空倉          |       -1.56% |     20 |    51.75% | [P:0.49] MACD:-0.01|KD_Diff:15.87|Vol_Ratio:0.90|MA_Slope:-0.01
00770.TW     | 國泰北美科技     | 64.15      | 🚀 買進           |      +35.80% |     32 |    51.80% | [P:0.50] MACD:-0.42|KD_Diff:-10.65|BB_Upper:8.16|MA_Bull:0.00
00772B.TWO   | 中信高評級公司債   | 33.43      | ❄️ 空倉          |       -0.30% |      6 |    50.69% | [P:0.38] RSI:40.54|KD_Diff:4.59|D_Value:32.31|BIAS_20:-0.51
00773B.TWO   | 中信優先金融債    | 35.92      | ❄️ 空倉          |       -0.27% |     26 |    49.86% | [P:0.44] MACD:-0.06|D_Value:45.97|BIAS_20:-0.17|MA_Bull:0.00
00780B.TWO   | 國泰A級金融債    | 37.74      | ❄️ 空倉          |       -0.61% |     44 |    50.84% | [P:0.46] RSI:56.30|D_Value:56.75|Vol_Ratio:1.28|MA_Bull:0.00
00785B.TWO   | 富邦金融投等債    | 34.94      | ❄️ 空倉          |       -0.35% |     14 |    51.33% | [P:0.40] MACD:-0.11|D_Value:80.50|BIAS_20:-0.38|MA_Bull:0.00
00787B.TWO   | 元大10年IG醫療債 | 32.62      | 🟢 持股           |       -3.00% |     29 |    51.27% | [P:0.52] KD_Diff:9.75|D_Value:30.74|MA_Slope:-0.04|MA_Bull:0.00
00795B.TWO   | 中信美國公債20年  | 27.23      | ❄️ 空倉          |       +1.68% |     14 |    51.45% | [P:0.40] MACD:0.01|KD_Diff:16.82|BIAS_20:0.67|MA_Bull:0.00
00830.TW     | 國泰費城半導體    | 77.75      | 💥 賣出           |      +48.20% |     17 |    49.34% | [P:0.50] KD_Diff:-9.23|BIAS_20:-11.84|MA_Slope:-1.24|BB_Upper:24.16
00834B.TWO   | 第一金金融債10+  | 33.92      | 🟢 持股           |       +0.98% |      7 |    50.14% | [P:0.56] [⚠️降級預設] RSI:34.13|MACD:-0.12|KD_Diff:3.14|D_Value:33.92
00845B.TWO   | 富邦新興投等債    | 33.70      | ❄️ 空倉          |       +1.22% |     36 |    51.83% | [P:0.41] RSI:51.49|D_Value:90.51|Vol_Ratio:0.88|MA_Bull:0.00
00847B.TWO   | 中信美國市政債    | 25.75      | ❄️ 空倉          |       -2.05% |     20 |    51.31% | [P:0.45] MACD:-0.01|D_Value:44.66|BIAS_20:0.04|MA_Bull:0.00
00851.TW     | 台新全球AI     | 65.20      | ❄️ 空倉          |      +27.57% |     32 |    50.09% | [P:0.42] RSI:33.16|KD_Diff:-9.08|BB_Upper:15.10|MA_Bull:0.00
00852L.TW    | 國泰美國道瓊正2   | 35.43      | ❄️ 空倉          |       +9.77% |     40 |    52.82% | [P:0.45] RSI:55.53|KD_Diff:15.63|BIAS_20:1.21|MA_Bull:0.00
00857B.TWO   | 永豐20年美公債   | 23.38      | ❄️ 空倉          |       -4.03% |     26 |    52.71% | [P:0.41] MACD:-0.01|Vol_Ratio:2.08|BIAS_20:0.64|MA_Bull:0.00
00861.TW     | 元大全球未來通訊   | 79.75      | 🟢 持股           |      +31.47% |     21 |    46.43% | [P:0.72] [⚠️降級預設] RSI:27.06|MACD:-1.99|KD_Diff:-8.60|D_Value:30.29
00863B.TWO   | 中信全球電信債    | 31.64      | 🟢 持股           |       +1.33% |     11 |    50.31% | [P:0.54] [⚠️降級預設] RSI:41.40|MACD:-0.13|KD_Diff:0.40|D_Value:28.34
00864B.TWO   | 中信美國公債0-1  | 47.27      | 🟢 持股           |       -1.50% |     13 |    52.76% | [P:0.58] MACD:0.28|D_Value:85.46|Vol_Ratio:1.63|BIAS_20:0.77
00865B.TW    | 國泰US短期公債   | 49.47      | ❄️ 空倉          |       +0.06% |     26 |    50.78% | [P:0.46] MACD:0.29|KD_Diff:-1.79|D_Value:86.29|MA_Bull:10.00
00867B.TWO   | 新光A-BBB電信債 | 30.78      | 🟢 持股           |       +3.95% |     29 |    51.64% | [P:0.54] MACD:-0.16|KD_Diff:4.74|D_Value:16.51|MA_Bull:0.00
00870B.TWO   | 元大15年EM主權債 | 28.13      | 💥 賣出           |       +3.81% |     59 |    49.27% | [P:0.48] KD_Diff:3.19|D_Value:19.63|Vol_Ratio:4.02|MA_Bull:0.00
00875.TW     | 國泰網路資安     | 50.80      | 🟢 持股           |      +19.23% |     43 |    51.41% | [P:0.55] RSI:43.49|Vol_Ratio:1.06|BIAS_20:-2.66|MA_Bull:0.00
00876.TW     | 元大全球5G     | 77.20      | 🟢 持股           |      +71.41% |     25 |    52.19% | [P:0.51] MACD:-3.24|KD_Diff:-5.72|BB_Upper:34.78|MA_Bull:0.00
00877.TWO    | 復華中國5G     | 34.53      | 🟢 持股           |      +31.22% |     25 |    53.35% | [P:0.55] MACD:-2.17|BIAS_20:-15.56|MA_Slope:-1.64|BB_Upper:37.47
00878.TW     | 國泰永續高股息    | 30.91      | 🟢 持股           |      +44.34% |     21 |    49.69% | [P:0.56] MACD:-0.13|Vol_Ratio:2.11|BB_Upper:10.35|MA_Bull:0.00
00881.TW     | 國泰台灣科技龍頭   | 46.07      | 💥 賣出           |      +47.45% |     19 |    50.89% | [P:0.50] KD_Diff:-9.32|BIAS_20:-11.63|MA_Slope:-0.93|BB_Upper:24.03
00882.TW     | 中信中國高股息    | 15.43      | 🟢 持股           |       +4.31% |     43 |    50.91% | [P:0.52] MACD:-0.02|BIAS_20:3.47|MA_Slope:0.28|MA_Bull:10.00
00884B.TWO   | 中信低碳新興債    | 29.44      | 🟢 持股           |       -1.55% |     11 |    48.70% | [P:0.50] [⚠️降級預設] RSI:46.08|MACD:-0.05|KD_Diff:7.92|D_Value:35.74
00885.TW     | 富邦越南       | 17.36      | ❄️ 空倉          |       +3.00% |     44 |    50.31% | [P:0.45] KD_Diff:3.45|BIAS_20:-4.43|MA_Slope:-0.44|MA_Bull:0.00
00887.TWO    | 永豐中國科技50大  | 16.33      | 🟢 持股           |      +32.79% |     31 |    49.41% | [P:0.61] MACD:-0.47|Vol_Ratio:1.53|BB_Upper:24.65|MA_Bull:0.00
00888.TWO    | 永豐台灣ESG    | 28.31      | 🟢 持股           |      +36.86% |     27 |    50.43% | [P:0.55] MACD:-1.37|D_Value:13.02|Vol_Ratio:0.63|BIAS_20:-19.13
00891.TW     | 中信關鍵半導體    | 30.16      | 🟢 持股           |      +72.86% |     35 |    49.32% | [P:0.60] MACD:-0.97|Vol_Ratio:1.87|BB_Upper:29.84|MA_Bull:0.00
00892.TW     | 富邦台灣半導體    | 34.65      | 🟢 持股           |      +40.58% |     11 |    47.89% | [P:0.67] [⚠️降級預設] RSI:26.98|MACD:-1.18|KD_Diff:-8.49|D_Value:37.29
00893.TW     | 國泰智能電動車    | 40.98      | 🟢 持股           |      +44.87% |     25 |    50.25% | [P:0.52] MACD:-0.76|KD_Diff:-9.47|BB_Upper:16.75|MA_Bull:0.00
00894.TW     | 中信小資高價30   | 39.88      | 💥 賣出           |      +23.18% |     29 |    49.03% | [P:0.49] KD_Diff:-10.09|BIAS_20:-13.62|MA_Slope:-1.08|BB_Upper:29.02
00896.TW     | 中信綠能及電動車   | 23.82      | 🟢 持股           |      +48.02% |     33 |    52.58% | [P:0.60] MACD:-0.58|Vol_Ratio:1.52|BB_Upper:22.27|MA_Bull:0.00
