prev_eps_yoy,om,pe,prev_rev_yoy,eps_yoy,gm,name,est_price,prev_year,price,date,rev_yoy,status,eps,prev_eps,expansion,symbol,advice
91.67,N/A,0.0,19.28,42.62,N/A,神數,0.0,2025,39.8499984741,2026-03,10.24,🚀 利潤擴張,0.87,2.99,32.379999999999995,7821.TW,⚪ 數據不足
-17.2,30.89%,0.0,15.19,34.92,35.24%,未知,0.0,2025,0.0,2025-12,6.33,🚀 利潤擴張,11.94,7.56,28.590000000000003,2072.TWO,⚪ 數據不足
-13.21,N/A,0.0,-5.58,23.4,N/A,向榮生技,-70.05,2025,75.3000030518,2026-03,-3.86,🧐 疑業外收益,-0.36,-1.89,27.259999999999998,6794.TW,⚪ 數據不足
-197.83,1.90%,0.0,2.23,450.0,23.39%,南緯,-28.950000000000003,2025,10.1999998093,2026-03,422.96,🔄 轉虧為盈,0.11,-0.45,27.04000000000002,1467.TW,⚪ 數據不足
-27.83,N/A,0.0,3.08,42.86,N/A,頌勝科技,0.0,2025,250.0,2026-03,16.63,🚀 利潤擴張,1.62,3.24,26.23,7768.TW,⚪ 數據不足
-27.83,N/A,0.0,3.08,42.86,N/A,未知,0.0,2025,0.0,2026-03,16.63,🚀 利潤擴張,1.62,3.24,26.23,7768.TWO,⚪ 數據不足
11.37,16.93%,0.0,20.5,38.11,21.29%,大東電,0.0,2025,0.0,2026-03,12.42,🚀 利潤擴張,4.33,13.61,25.689999999999998,1623.TW,⚪ 數據不足
-1.08,33.03%,8.83522738109375,6.4,83.05,80.00%,元大金,105.6,2025,62.2000007629,2026-03,62.36,🏰 高護城河,1.08,2.74,20.689999999999998,2885.TW,💎 強力關注
-66.0,N/A,13.40807157780269,0.36,45.45,N/A,中連,33.45,2025,29.8999996185,2026-03,25.49,🚀 利潤擴張,0.32,0.85,19.960000000000004,5604.TWO,✅ 穩健價值
-11.63,N/A,8.963414517865854,0.56,470.83,N/A,宏遠證,24.599999999999998,2025,14.6999998093,2026-03,451.29,🚀 利潤擴張,0.89,0.76,19.539999999999964,6015.TWO,💎 強力關注
-134.86,N/A,0.0,-8.35,45.71,N/A,力新,-30.900000000000002,2025,11.3999996185,2026-03,26.81,🚀 利潤擴張,-0.19,-0.61,18.900000000000002,5202.TWO,⚪ 數據不足
13.1,45.93%,8.855932041758475,4.06,41.03,97.25%,華南金,70.8,2025,41.7999992371,2026-03,22.97,🏰 高護城河,0.55,1.9,18.060000000000002,2880.TW,💎 強力關注
35.0,8.13%,143.38461068953845,13.9,234.78,31.93%,博磊,9.75,2025,93.1999969482,2026-03,216.8,🚀 利潤擴張,0.31,0.81,17.97999999999999,3581.TWO,⚠️ 追價風險
28.3,32.37%,7.1130951245833325,14.52,33.33,89.95%,高雄銀,25.200000000000003,2025,11.9499998093,2026-03,16.1,🏰 高護城河,0.2,0.68,17.229999999999997,2836.TW,💎 強力關注
107.11,N/A,445.62500000000006,25.43,331.43,N/A,環宇-KY,11.999999999999998,2025,356.5,2026-03,316.27,🚀 利潤擴張,1.67,0.15,15.160000000000025,4991.TWO,⚠️ 追價風險
14.12,N/A,0.0,10.14,10.53,N/A,精誠金融,0.0,2025,35.0999984741,2026-03,-1.82,🧐 疑業外收益,0.42,2.91,12.35,7819.TWO,⚪ 數據不足
-10.99,39.14%,7.650918535039371,-12.26,34.04,78.38%,凱基金,57.14999999999999,2025,29.1499996185,2026-03,22.04,🏰 高護城河,0.69,1.74,12.0,2883.TW,💎 強力關注
-14.12,N/A,0.0,-0.97,52.29,N/A,華安,-109.2,2025,30.25,2026-03,41.94,🚀 利潤擴張,-0.53,-2.92,10.350000000000001,6657.TW,⚪ 數據不足
4.19,60.64%,33.00094966761633,6.74,29.13,100.00%,力旺,947.7,2025,2085.0,2026-03,19.99,🏰 高護城河,7.98,25.6,9.14,3529.TWO,⚠️ 追價風險
-53.57,-4.59%,0.0,-8.31,283.33,24.77%,宏亞,-14.25,2025,23.8500003815,2026-03,274.7,🔄 轉虧為盈,0.23,-0.43,8.629999999999995,1236.TW,⚪ 數據不足
-827.91,-13.99%,0.0,-15.19,153.49,27.77%,岱宇,-89.10000000000001,2025,20.75,2026-03,145.6,🔄 轉虧為盈,0.25,-3.35,7.890000000000015,1598.TW,⚪ 數據不足
