date,eps_yoy,gm,rev_yoy,advice,expansion,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,om,name,prev_year,pe,symbol,status,price,est_price
2025-12,142.59,N/A,20.19,💎 強力關注,122.4,0.92,0.66,128.33,28.81,N/A,安鈦克,2025,10.515464048625429,6276.TWO,🚀 利潤擴張,30.6000003815,43.650000000000006
2025-12,127.94,28.43%,8.09,⚠️ 追價風險,119.85,0.19,0.04,111.76,2.64,-3.62%,瑞利,2025,29.3999996184,1512.TW,🚀 利潤擴張,7.3499999046,3.75
2025-12,177.61,32.97%,59.65,💎 強力關注,117.96000000000001,1.86,1.04,425.0,217.33,26.41%,綠意,2025,6.433333502866667,2596.TWO,🚀 利潤擴張,28.9500007629,67.5
2025-12,139.29,N/A,22.38,⚠️ 追價風險,116.91,0.12,0.2,190.91,34.06,N/A,泰霖,2025,42.60869509927536,8080.TWO,🚀 利潤擴張,29.3999996185,10.350000000000001
2025-12,122.09,31.93%,7.47,⚠️ 追價風險,114.62,0.19,-0.02,97.22,8.77,2.93%,氣立,2025,1066.2500381475,4555.TW,🔄 轉虧為盈,42.6500015259,0.6000000000000001
2025-12,23.33,N/A,-90.1,⚪ 數據不足,113.42999999999999,-0.23,-0.12,55.56,-92.7,N/A,瑞築,2025,0.0,6198.TWO,🧐 疑業外收益,21.7000007629,-7.5
2025-12,51.72,35.38%,-61.59,⚠️ 追價風險,113.31,0.88,0.23,-14.81,-60.26,-88.29%,中美實,2025,27.628571646571416,4702.TWO,🧐 疑業外收益,9.6700000763,5.250000000000002
2025-12,144.7,48.37%,32.13,💎 強力關注,112.57,23.18,10.08,19.56,22.8,35.36%,威剛,2025,11.363060552318217,3260.TWO,🚀 利潤擴張,448.5,592.05
2025-12,87.32,-19.82%,-22.64,⚪ 數據不足,109.96,-0.18,-0.41,28.07,-15.81,14.50%,千興,2025,0.0,2025.TW,🧐 疑業外收益,11.3000001907,-17.700000000000003
2025-12,102.7,N/A,-6.4,⚪ 數據不足,109.10000000000001,0.02,0.02,104.35,-7.04,N/A,大拓-KY,2025,0.0,8455.TWO,🧐 疑業外收益,26.0,-4.95
