prev_eps_yoy,expansion,date,name,om,prev_year,gm,est_price,prev_rev_yoy,symbol,price,advice,prev_eps,pe,eps,eps_yoy,status,rev_yoy
-11.63,19.539999999999964,2026-03,宏遠證,N/A,2025,N/A,24.599999999999998,0.56,6015.TWO,14.5500001907,💎 強力關注,0.76,8.871951335792684,0.89,470.83,🚀 利潤擴張,451.29
-134.86,18.900000000000002,2026-03,力新,N/A,2025,N/A,-30.900000000000002,-8.35,5202.TWO,11.3500003815,⚪ 數據不足,-0.61,0.0,-0.19,45.71,🚀 利潤擴張,26.81
13.1,18.060000000000002,2026-03,華南金,45.93%,2025,97.25%,70.8,4.06,2880.TW,42.6500015259,💎 強力關注,1.9,9.036017272436442,0.55,41.03,🏰 高護城河,22.97
35.0,17.97999999999999,2026-03,博磊,8.13%,2025,31.93%,9.75,13.9,3581.TWO,90.9000015259,⚠️ 追價風險,0.81,139.8461561936923,0.31,234.78,🚀 利潤擴張,216.8
28.3,17.229999999999997,2026-03,高雄銀,32.37%,2025,89.95%,25.200000000000003,14.52,2836.TW,12.1499996185,💎 強力關注,0.68,7.232142630059523,0.2,33.33,🏰 高護城河,16.1
107.11,15.160000000000025,2026-03,環宇-KY,N/A,2025,N/A,11.999999999999998,25.43,4991.TWO,321.0,⚠️ 追價風險,0.15,401.25000000000006,1.67,331.43,🚀 利潤擴張,316.27
14.12,12.35,2026-03,精誠金融,N/A,2025,N/A,0.0,10.14,7819.TWO,34.2999992371,⚪ 數據不足,2.91,0.0,0.42,10.53,🧐 疑業外收益,-1.82
-10.99,12.0,2026-03,凱基金,39.14%,2025,78.38%,57.14999999999999,-12.26,2883.TW,28.9500007629,💎 強力關注,1.74,7.598425397086615,0.69,34.04,🏰 高護城河,22.04
-14.12,10.350000000000001,2026-03,華安,N/A,2025,N/A,-109.2,-0.97,6657.TW,29.3999996185,⚪ 數據不足,-2.92,0.0,-0.53,52.29,🚀 利潤擴張,41.94
4.19,9.14,2026-03,力旺,60.64%,2025,100.00%,947.7,6.74,3529.TWO,2290.0,⚠️ 追價風險,25.6,36.24564735675847,7.98,29.13,🏰 高護城河,19.99
-53.57,8.629999999999995,2026-03,宏亞,-4.59%,2025,24.77%,-14.25,-8.31,1236.TW,23.8500003815,⚪ 數據不足,-0.43,0.0,0.23,283.33,🔄 轉虧為盈,274.7
-827.91,7.890000000000015,2026-03,岱宇,-13.99%,2025,27.77%,-89.10000000000001,-15.19,1598.TW,19.7999992371,⚪ 數據不足,-3.35,0.0,0.25,153.49,🔄 轉虧為盈,145.6
24.93,7.82,2026-03,全景軟體,N/A,2025,N/A,136.05,15.86,8272.TWO,66.5,✅ 穩健價值,4.66,7.33186328555678,0.39,56.0,🚀 利潤擴張,48.18
-7.32,7.48,2026-03,欣欣,20.24%,2025,84.77%,13.5,-2.15,2901.TW,23.75,⚠️ 追價風險,0.38,26.38888888888889,0.11,37.5,🏰 高護城河,30.02
14.95,5.7299999999999995,2026-03,未知,N/A,2025,N/A,0.0,-3.6,4178.TWO,0.0,⚪ 數據不足,-0.92,0.0,-0.19,-5.56,🌑 雙重衰退,-11.29
14.95,5.7299999999999995,2026-03,永笙-KY,N/A,2025,N/A,0.0,-3.6,4178.TW,17.0,⚪ 數據不足,-0.92,0.0,-0.19,-5.56,🌑 雙重衰退,-11.29
-38.13,5.1200000000000045,2026-03,詩肯,N/A,2025,N/A,63.6,-3.57,6195.TWO,26.7000007629,✅ 穩健價值,0.99,6.29716999125,1.5,114.29,🚀 利潤擴張,109.17
0.85,4.100000000000001,2026-03,兆豐金,33.61%,2025,83.45%,91.94999999999999,-1.77,2886.TW,51.5,✅ 穩健價值,2.36,8.40130505709625,0.63,16.67,🏰 高護城河,12.57
41.18,3.8000000000000025,2026-03,聯傑,-7.29%,2025,73.82%,7.35,13.2,3094.TW,31.7000007629,⚠️ 追價風險,0.25,64.69387910795919,0.07,16.67,🏰 高護城河,12.87
-326.32,3.490000000000009,2026-03,亞電,N/A,2025,N/A,-22.2,-8.05,4939.TWO,46.5499992371,⚪ 數據不足,-0.43,0.0,0.24,300.0,🔄 轉虧為盈,296.51
18.52,3.3499999999999996,2026-03,達人網,N/A,2025,N/A,0.0,8.14,7839.TWO,45.5,⚪ 數據不足,2.56,0.0,0.73,5.8,🚀 利潤擴張,2.45
-16.92,3.0700000000000003,2026-03,能率亞洲,N/A,2025,N/A,12.149999999999999,15.88,7777.TWO,33.5499992371,⚠️ 追價風險,0.58,41.41975214456791,-0.25,35.9,🚀 利潤擴張,32.83
