expansion,eps_yoy,est_price,date,prev_rev_yoy,prev_eps,prev_eps_yoy,symbol,rev_yoy,price,advice,eps,pe,name,om,gm,prev_year,status
46.579999999999984,406.06,31.8,2026-03,23.54,1.5,-36.17,3287.TWO,359.48,31.75,✅ 穩健價值,1.01,14.976415094339622,廣寰科,N/A,N/A,2025,🚀 利潤擴張
45.849999999999994,112.5,146.54999999999998,2026-03,-17.0,5.29,544.54,9949.TWO,66.65,24.9500007629,💎 強力關注,0.03,2.553736004390993,琉園,N/A,N/A,2025,🚀 利潤擴張
39.24,55.17,172.35,2026-03,108.17,4.85,31.64,6620.TWO,15.93,93.6999969482,💎 強力關注,0.46,8.154917053803306,漢達,N/A,N/A,2025,🚀 利潤擴張
35.860000000000014,300.0,-30.6,2026-03,-40.0,0.12,-93.75,2388.TW,264.14,70.9000015259,⚪ 數據不足,0.08,0.0,威盛,-8.17%,20.64%,2025,🚀 利潤擴張
34.20000000000002,190.24,81.9,2026-03,1.24,2.15,-5.7,3556.TWO,156.04,67.4000015259,✅ 穩健價值,1.19,12.344322623791207,禾瑞亞,14.95%,50.66%,2025,🏰 高護城河
32.379999999999995,42.62,0.0,2026-03,19.28,2.99,91.67,7821.TW,10.24,41.1500015259,⚪ 數據不足,0.87,0.0,神數,N/A,N/A,2025,🚀 利潤擴張
28.590000000000003,34.92,0.0,2025-12,15.19,7.56,-17.2,2072.TWO,6.33,0.0,⚪ 數據不足,11.94,0.0,未知,30.89%,35.24%,2025,🚀 利潤擴張
27.259999999999998,23.4,-70.05,2026-03,-5.58,-1.89,-13.21,6794.TW,-3.86,78.1999969482,⚪ 數據不足,-0.36,0.0,向榮生技,N/A,N/A,2025,🧐 疑業外收益
27.04000000000002,450.0,-28.950000000000003,2026-03,2.23,-0.45,-197.83,1467.TW,422.96,7.0,⚪ 數據不足,0.11,0.0,南緯,1.90%,23.39%,2025,🔄 轉虧為盈
26.23,42.86,0.0,2026-03,3.08,3.24,-27.83,7768.TW,16.63,339.0,⚪ 數據不足,1.62,0.0,頌勝科技,N/A,N/A,2025,🚀 利潤擴張
26.23,42.86,0.0,2026-03,3.08,3.24,-27.83,7768.TWO,16.63,0.0,⚪ 數據不足,1.62,0.0,未知,N/A,N/A,2025,🚀 利潤擴張
25.689999999999998,38.11,0.0,2026-03,20.5,13.61,11.37,1623.TW,12.42,0.0,⚪ 數據不足,4.33,0.0,大東電,16.93%,21.29%,2025,🚀 利潤擴張
20.689999999999998,83.05,105.6,2026-03,6.4,2.74,-1.08,2885.TW,62.36,66.3000030518,💎 強力關注,1.08,9.417614069857954,元大金,33.03%,80.00%,2025,🏰 高護城河
19.960000000000004,45.45,33.45,2026-03,0.36,0.85,-66.0,5604.TWO,25.49,30.75,✅ 穩健價值,0.32,13.789237668161435,中連,N/A,N/A,2025,🚀 利潤擴張
