expansion,name,eps,gm,status,prev_year,symbol,om,prev_rev_yoy,est_price,eps_yoy,rev_yoy,date,pe,prev_eps_yoy,price,prev_eps,advice
109.10000000000001,大拓-KY,0.02,N/A,🧐 疑業外收益,2025,8455.TWO,N/A,-7.04,-4.95,102.7,-6.4,2025-12,0.0,104.35,24.6000003815,0.02,⚪ 數據不足
108.56,佳龍,0.54,N/A,🔄 轉虧為盈,2025,9955.TW,N/A,17.8,-5.399999999999999,134.62,26.06,2025-12,0.0,50.67,28.8500003815,-0.37,⚪ 數據不足
107.85000000000001,十銓,13.06,N/A,🚀 利潤擴張,2025,4967.TW,N/A,-15.55,279.75000000000006,110.31,2.46,2025-12,15.22788203753351,-46.86,284.0,3.47,✅ 穩健價值
106.5,創業家,-0.92,N/A,🧐 疑業外收益,2025,8477.TWO,N/A,-51.54,-38.4,53.77,-52.73,2025-12,0.0,80.0,13.5500001907,-0.62,⚪ 數據不足
106.29,國建,2.83,26.51%,🚀 利潤擴張,2025,2501.TW,17.13%,7.39,94.35,108.09,1.8,2025-12,4.220985570286168,127.38,26.5499992371,1.91,💎 強力關注
104.65,威潤,0.86,N/A,🔄 轉虧為盈,2025,6465.TWO,N/A,5.09,-14.549999999999999,168.25,63.6,2025-12,0.0,29.25,45.2999992371,-0.75,⚪ 數據不足
103.75999999999999,凌航,6.33,19.12%,🚀 利潤擴張,2025,3135.TW,16.62%,34.74,131.09999999999997,143.64,39.88,2025-12,15.8466819221968,-29.03,138.5,1.5,✅ 穩健價值
102.95,撼訊,2.63,N/A,🚀 利潤擴張,2025,6150.TWO,N/A,77.79,79.8,164.15,61.2,2025-12,10.582706623515039,156.36,56.2999992371,1.55,💎 強力關注
101.99,麗臺,0.43,10.44%,🚀 利潤擴張,2025,2465.TW,2.26%,32.51,19.2,107.41,5.42,2025-12,53.75000238421875,102.43,68.8000030518,0.09,⚠️ 追價風險
98.16,誠品生活,0.54,40.82%,🚀 利潤擴張,2025,2926.TWO,-1.48%,2.58,19.05,100.0,1.84,2025-12,28.8582689180315,241.67,36.6500015259,0.34,⚠️ 追價風險
97.42,錩泰,2.32,19.55%,🚀 利潤擴張,2025,1541.TW,7.07%,28.08,65.7,118.87,21.45,2025-12,5.525114329429224,41.94,24.2000007629,1.32,💎 強力關注
96.7,虹光,0.72,24.41%,🚀 利潤擴張,2025,2380.TW,0.24%,9.38,29.099999999999998,110.31,13.61,2025-12,2.577319587628866,133.57,5.0,0.47,💎 強力關注
96.47999999999999,IET-KY,1.65,N/A,🚀 利潤擴張,2025,4971.TWO,N/A,54.63,-7.0500000000000025,146.97,50.49,2025-12,0.0,103.17,687.0,0.09,⚪ 數據不足
96.02000000000001,雙喜,0.16,N/A,🚀 利潤擴張,2025,5516.TWO,N/A,7.31,-7.35,104.43,8.41,2025-12,0.0,116.43,11.6000003815,0.34,⚪ 數據不足
95.32,上詮,0.16,12.43%,🚀 利潤擴張,2025,3363.TWO,-9.15%,49.52,10.65,134.04,38.72,2025-12,1040.8450704225352,317.65,739.0,0.37,⚠️ 追價風險
