om,name,prev_rev_yoy,price,eps_yoy,rev_yoy,date,gm,prev_eps_yoy,status,prev_year,advice,pe,prev_eps,est_price,symbol,expansion,eps
41.27%,聯亞,82.29,3055.0,645.65,515.18,2026-03,54.76%,884.75,🏰 高護城河,2025,⚠️ 追價風險,250.40983606557378,4.66,183.0,3081.TWO,130.47000000000003,3.44
-456.27%,太極,-81.44,18.3999996185,54.11,-75.71,2025-12,-156.07%,16.25,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-0.67,-35.85,4934.TW,129.82,-0.95
6.32%,榮運,-19.69,47.8499984741,108.46,-19.52,2025-12,18.52%,139.38,🧐 疑業外收益,2025,💎 強力關注,5.506328938331415,2.72,130.35,2607.TW,127.97999999999999,3.56
N/A,青雲,12.38,448.0,159.21,32.59,2025-12,N/A,103.38,🚀 利潤擴張,2025,⚠️ 追價風險,29.28104575163399,3.03,229.49999999999997,5386.TWO,126.62,8.61
N/A,美好證,13.11,34.4000015259,161.27,35.14,2025-12,N/A,128.3,🚀 利潤擴張,2025,💎 強力關注,7.765237364762981,2.46,66.44999999999999,6021.TWO,126.13000000000001,3.76
-3.44%,曜越,30.74,0.0,155.22,29.09,2025-12,27.46%,147.47,🚀 利潤擴張,2025,⚪ 數據不足,0.0,0.47,0.0,3540.TWO,126.13,0.74
N/A,山林水,62.88,33.9000015259,177.17,51.31,2025-12,N/A,130.34,🚀 利潤擴張,2025,💎 強力關注,4.822190828719773,2.05,105.44999999999999,8473.TW,125.85999999999999,2.55
13.87%,穩懋,-13.87,512.0,120.99,-4.69,2025-12,31.80%,-40.53,🧐 疑業外收益,2025,⚠️ 追價風險,110.10752688172042,1.57,69.75,3105.TWO,125.67999999999999,4.0
N/A,安鈦克,28.81,29.5499992371,142.59,20.19,2025-12,N/A,128.33,🚀 利潤擴張,2025,💎 強力關注,10.154638913092782,0.66,43.650000000000006,6276.TWO,122.4,0.92
-3.62%,瑞利,2.64,7.1300001144,127.94,8.09,2025-12,28.43%,111.76,🚀 利潤擴張,2025,⚠️ 追價風險,28.5200004576,0.04,3.75,1512.TW,119.85,0.19
26.41%,綠意,217.33,29.25,177.61,59.65,2025-12,32.97%,425.0,🚀 利潤擴張,2025,💎 強力關注,6.5,1.04,67.5,2596.TWO,117.96000000000001,1.86
N/A,泰霖,34.06,28.3500003815,139.29,22.38,2025-12,N/A,190.91,🚀 利潤擴張,2025,⚠️ 追價風險,41.086957074637674,0.2,10.350000000000001,8080.TWO,116.91,0.12
2.93%,氣立,8.77,42.5,122.09,7.47,2025-12,31.93%,97.22,🔄 轉虧為盈,2025,⚠️ 追價風險,1062.4999999999998,-0.02,0.6000000000000001,4555.TW,114.62,0.19
N/A,瑞築,-92.7,21.8999996185,23.33,-90.1,2025-12,N/A,55.56,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-0.12,-7.5,6198.TWO,113.42999999999999,-0.23
-88.29%,中美實,-60.26,9.8900003433,51.72,-61.59,2025-12,35.38%,-14.81,🧐 疑業外收益,2025,⚠️ 追價風險,28.25714383799999,0.23,5.250000000000002,4702.TWO,113.31,0.88
