status,symbol,om,advice,prev_year,date,prev_eps,rev_yoy,prev_rev_yoy,eps_yoy,pe,est_price,prev_eps_yoy,eps,gm,name,price,expansion
🔄 轉虧為盈,6465.TWO,N/A,⚪ 數據不足,2025,2025-12,-0.75,63.6,5.09,168.25,0.0,-14.549999999999999,29.25,0.86,N/A,威潤,48.5999984741,104.65
🚀 利潤擴張,3135.TW,16.62%,⚪ 中性觀察,2025,2025-12,1.5,39.88,34.74,143.64,21.796338672768883,131.09999999999997,-29.03,6.33,19.12%,凌航,190.5,103.75999999999999
🚀 利潤擴張,6150.TWO,N/A,✅ 穩健價值,2025,2025-12,1.55,61.2,77.79,164.15,12.406015037593987,79.8,156.36,2.63,N/A,撼訊,66.0,102.95
🚀 利潤擴張,2465.TW,2.26%,⚠️ 追價風險,2025,2025-12,0.09,5.42,32.51,107.41,59.06249880789063,19.2,102.43,0.43,10.44%,麗臺,75.5999984741,101.99
🚀 利潤擴張,2926.TWO,-1.48%,⚠️ 追價風險,2025,2025-12,0.34,1.84,2.58,100.0,29.055119311732284,19.05,241.67,0.54,40.82%,誠品生活,36.9000015259,98.16
🚀 利潤擴張,1541.TW,7.07%,💎 強力關注,2025,2025-12,1.32,21.45,28.08,118.87,4.657534159474886,65.7,41.94,2.32,19.55%,錩泰,20.3999996185,97.42
🚀 利潤擴張,2380.TW,0.24%,💎 強力關注,2025,2025-12,0.47,13.61,9.38,110.31,3.0154638683505155,29.099999999999998,133.57,0.72,24.41%,虹光,5.8499999046,96.7
🚀 利潤擴張,4971.TWO,N/A,⚪ 數據不足,2025,2025-12,0.09,50.49,54.63,146.97,0.0,-7.0500000000000025,103.17,1.65,N/A,IET-KY,700.0,96.47999999999999
🚀 利潤擴張,5516.TWO,N/A,⚪ 數據不足,2025,2025-12,0.34,8.41,7.31,104.43,0.0,-7.35,116.43,0.16,N/A,雙喜,11.0,96.02000000000001
🚀 利潤擴張,3363.TWO,-9.15%,⚠️ 追價風險,2025,2025-12,0.37,38.72,49.52,134.04,1094.3661971830984,10.65,317.65,0.16,12.43%,上詮,777.0,95.32
🚀 利潤擴張,6739.TWO,N/A,⚠️ 追價風險,2025,2025-12,10.13,96.69,94.38,191.99,35.745171519169794,520.3499999999999,167.2,16.13,N/A,竹陞科技,1240.0,95.30000000000001
🚀 利潤擴張,6125.TWO,N/A,⚠️ 追價風險,2025,2025-12,0.13,23.69,15.42,118.18,176.45161536419354,4.65,123.21,0.1,N/A,廣運,54.7000007629,94.49000000000001
🚀 利潤擴張,3687.TWO,12.64%,💎 強力關注,2025,2025-12,4.47,6.13,5.19,100.43,6.572504995461394,159.3,151.12,4.67,39.69%,歐買尬,69.8000030518,94.30000000000001
🏰 高護城河,1453.TW,-2853.40%,⚪ 數據不足,2025,2025-12,0.05,7.27,4.56,100.0,0.0,-2.1,-58.33,0.04,912.85%,大將,11.25,92.73
