eps_yoy,prev_rev_yoy,rev_yoy,status,prev_eps,prev_eps_yoy,symbol,date,price,prev_year,name,pe,om,eps,expansion,advice,est_price,gm
34.92,15.19,6.33,🚀 利潤擴張,7.56,-17.2,2072.TWO,2025-12,0.0,2025,未知,0.0,30.89%,11.94,28.590000000000003,⚪ 數據不足,0.0,35.24%
23.4,-5.58,-3.86,🧐 疑業外收益,-1.89,-13.21,6794.TW,2026-03,79.0999984741,2025,向榮生技,0.0,N/A,-0.36,27.259999999999998,⚪ 數據不足,-70.05,N/A
450.0,2.23,422.96,🔄 轉虧為盈,-0.45,-197.83,1467.TW,2026-03,9.0,2025,南緯,0.0,1.90%,0.11,27.04000000000002,⚪ 數據不足,-28.950000000000003,23.39%
42.86,3.08,16.63,🚀 利潤擴張,3.24,-27.83,7768.TW,2026-03,333.0,2025,頌勝科技,0.0,N/A,1.62,26.23,⚪ 數據不足,0.0,N/A
42.86,3.08,16.63,🚀 利潤擴張,3.24,-27.83,7768.TWO,2026-03,0.0,2025,未知,0.0,N/A,1.62,26.23,⚪ 數據不足,0.0,N/A
38.11,20.5,12.42,🚀 利潤擴張,13.61,11.37,1623.TW,2026-03,0.0,2025,大東電,0.0,16.93%,4.33,25.689999999999998,⚪ 數據不足,0.0,21.29%
83.05,6.4,62.36,🏰 高護城河,2.74,-1.08,2885.TW,2026-03,67.0,2025,元大金,9.517045454545455,33.03%,1.08,20.689999999999998,💎 強力關注,105.6,80.00%
45.45,0.36,25.49,🚀 利潤擴張,0.85,-66.0,5604.TWO,2026-03,30.8999996185,2025,中連,13.856502071076234,N/A,0.32,19.960000000000004,✅ 穩健價值,33.45,N/A
470.83,0.56,451.29,🚀 利潤擴張,0.76,-11.63,6015.TWO,2026-03,17.5499992371,2025,宏遠證,10.701219047012195,N/A,0.89,19.539999999999964,💎 強力關注,24.599999999999998,N/A
45.71,-8.35,26.81,🚀 利潤擴張,-0.61,-134.86,5202.TWO,2026-03,13.8000001907,2025,力新,0.0,N/A,-0.19,18.900000000000002,⚪ 數據不足,-30.900000000000002,N/A
41.03,4.06,22.97,🏰 高護城河,1.9,13.1,2880.TW,2026-03,38.8499984741,2025,華南金,8.230931880105933,45.93%,0.55,18.060000000000002,💎 強力關注,70.8,97.25%
234.78,13.9,216.8,🚀 利潤擴張,0.81,35.0,3581.TWO,2026-03,127.5,2025,博磊,196.15384615384616,8.13%,0.31,17.97999999999999,⚠️ 追價風險,9.75,31.93%
33.33,14.52,16.1,🏰 高護城河,0.68,28.3,2836.TW,2026-03,12.5500001907,2025,高雄銀,7.47023820875,32.37%,0.2,17.229999999999997,💎 強力關注,25.200000000000003,89.95%
331.43,25.43,316.27,🚀 利潤擴張,0.15,107.11,4991.TWO,2026-03,426.0,2025,環宇-KY,532.5,N/A,1.67,15.160000000000025,⚠️ 追價風險,11.999999999999998,N/A
10.53,10.14,-1.82,🧐 疑業外收益,2.91,14.12,7819.TWO,2026-03,37.6500015259,2025,精誠金融,0.0,N/A,0.42,12.35,⚪ 數據不足,0.0,N/A
34.04,-12.26,22.04,🏰 高護城河,1.74,-10.99,2883.TW,2026-03,30.1499996185,2025,凱基金,7.913385726640421,39.14%,0.69,12.0,💎 強力關注,57.14999999999999,78.38%
52.29,-0.97,41.94,🚀 利潤擴張,-2.92,-14.12,6657.TW,2026-03,35.0,2025,華安,0.0,N/A,-0.53,10.350000000000001,⚪ 數據不足,-109.2,N/A
29.13,6.74,19.99,🏰 高護城河,25.6,4.19,3529.TWO,2026-03,2530.0,2025,力旺,40.0443178220956,60.64%,7.98,9.14,⚠️ 追價風險,947.7,100.00%
283.33,-8.31,274.7,🔄 轉虧為盈,-0.43,-53.57,1236.TW,2026-03,23.5499992371,2025,宏亞,0.0,-4.59%,0.23,8.629999999999995,⚪ 數據不足,-14.25,24.77%
153.49,-15.19,145.6,🔄 轉虧為盈,-3.35,-827.91,1598.TW,2026-03,19.7999992371,2025,岱宇,0.0,-13.99%,0.25,7.890000000000015,⚪ 數據不足,-89.10000000000001,27.77%
56.0,15.86,48.18,🚀 利潤擴張,4.66,24.93,8272.TWO,2026-03,67.5,2025,全景軟體,7.4421168687982355,N/A,0.39,7.82,✅ 穩健價值,136.05,N/A
37.5,-2.15,30.02,🏰 高護城河,0.38,-7.32,2901.TW,2026-03,24.4500007629,2025,欣欣,27.166667514333334,20.24%,0.11,7.48,⚠️ 追價風險,13.5,84.77%
-5.56,-3.6,-11.29,🌑 雙重衰退,-0.92,14.95,4178.TWO,2026-03,0.0,2025,未知,0.0,N/A,-0.19,5.7299999999999995,⚪ 數據不足,0.0,N/A
-5.56,-3.6,-11.29,🌑 雙重衰退,-0.92,14.95,4178.TW,2026-03,18.6000003815,2025,永笙-KY,0.0,N/A,-0.19,5.7299999999999995,⚪ 數據不足,0.0,N/A
114.29,-3.57,109.17,🚀 利潤擴張,0.99,-38.13,6195.TWO,2026-03,26.5499992371,2025,詩肯,6.261792272900943,N/A,1.5,5.1200000000000045,✅ 穩健價值,63.6,N/A
16.67,-1.77,12.57,🏰 高護城河,2.36,0.85,2886.TW,2026-03,46.0,2025,兆豐金,7.504078303425776,33.61%,0.63,4.100000000000001,✅ 穩健價值,91.94999999999999,83.45%
16.67,13.2,12.87,🏰 高護城河,0.25,41.18,3094.TW,2026-03,40.4500007629,2025,聯傑,82.55102196510204,-7.29%,0.07,3.8000000000000025,⚠️ 追價風險,7.35,73.82%
300.0,-8.05,296.51,🔄 轉虧為盈,-0.43,-326.32,4939.TWO,2026-03,60.7999992371,2025,亞電,0.0,N/A,0.24,3.490000000000009,⚪ 數據不足,-22.2,N/A
5.8,8.14,2.45,🚀 利潤擴張,2.56,18.52,7839.TWO,2026-03,44.5,2025,達人網,0.0,N/A,0.73,3.3499999999999996,⚪ 數據不足,0.0,N/A
35.9,15.88,32.83,🚀 利潤擴張,0.58,-16.92,7777.TWO,2026-03,40.0,2025,能率亞洲,49.38271604938272,N/A,-0.25,3.0700000000000003,⚠️ 追價風險,12.149999999999999,N/A
